year,km_driven,owner,fuel_CNG,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual
2015,40000,1,False,False,False,False,True,False,True,False,False,True
1998,40000,4,False,False,False,False,True,False,True,False,False,True
2012,80000,1,False,False,False,False,True,False,True,False,False,True
2015,70000,1,False,False,False,False,True,False,True,False,False,True
2011,70000,1,False,True,False,False,False,False,True,False,False,True
2003,57000,1,False,False,False,False,True,False,True,False,False,True
2016,120000,1,False,True,False,False,False,False,True,False,False,True
2005,30000,1,False,False,False,False,True,False,True,False,False,True
2013,3240,2,False,False,False,False,True,False,True,False,False,True
2015,5000,1,False,False,False,False,True,False,True,False,False,True
2015,100000,1,False,True,False,False,False,False,True,False,False,True
2016,80000,1,False,True,False,False,False,False,True,False,False,True
2002,70000,1,False,False,False,False,True,False,True,False,False,True
2007,114000,2,False,False,False,False,True,False,True,False,False,True
2008,53772,1,False,False,False,False,True,False,True,False,False,True
2012,140000,2,False,True,False,False,False,False,True,False,False,True
2015,120000,1,False,True,False,False,False,False,True,False,False,True
2012,60000,1,False,False,False,False,True,False,True,False,False,True
2016,25000,1,False,False,False,False,True,False,True,False,False,True
2014,90000,1,False,False,False,True,False,False,True,False,False,True
2015,175000,1,False,True,False,False,False,False,True,False,False,True
2011,100000,3,False,False,False,False,True,False,True,False,False,True
2014,36000,1,False,False,False,False,True,False,True,False,False,True
2013,30000,1,False,True,False,False,False,False,True,False,False,True
2010,40000,2,False,False,False,False,True,False,True,False,True,False
2013,70000,2,False,False,False,False,True,False,True,False,False,True
2011,155500,1,False,True,False,False,False,False,True,False,False,True
2011,50000,2,False,False,False,False,True,False,True,False,True,False
2016,40000,1,False,False,False,False,True,False,True,False,False,True
2015,100000,3,False,True,False,False,False,False,True,False,False,True
2012,80000,3,False,False,False,False,True,False,True,False,False,True
2011,90000,2,False,False,False,False,True,False,True,False,False,True
2013,90000,2,False,True,False,False,False,False,True,False,False,True
2006,110000,3,False,False,False,False,True,False,True,False,False,True
2007,100000,2,False,False,False,False,True,False,True,False,False,True
2004,60000,2,False,False,False,False,True,False,True,False,False,True
2013,25000,1,False,False,False,False,True,False,True,False,False,True
2016,25000,1,False,False,False,False,True,False,True,False,False,True
2015,23000,1,False,False,False,False,True,False,True,False,False,True
2009,60000,2,False,False,False,False,True,False,True,False,False,True
2009,110000,2,False,False,False,False,True,False,True,False,False,True
2003,100000,2,False,True,False,False,False,False,True,False,False,True
2016,70000,1,False,True,False,False,False,False,True,False,True,False
2005,120000,2,False,False,False,False,True,False,True,False,False,True
2013,35000,1,False,True,False,False,False,False,True,False,True,False
2007,78380,1,False,False,False,False,True,False,True,False,False,True
2012,110000,2,False,True,False,False,False,False,True,False,False,True
2010,90000,3,False,True,False,False,False,False,True,False,False,True
2011,90000,3,False,True,False,False,False,False,True,False,False,True
2009,150000,3,False,True,False,False,False,False,True,False,False,True
2009,230000,3,False,True,False,False,False,False,True,False,False,True
2006,70000,3,False,False,False,False,True,False,True,False,False,True
2012,110000,3,False,False,False,False,True,False,True,False,False,True
2012,60000,1,False,True,False,False,False,False,True,False,False,True
2015,50000,1,False,True,False,False,False,False,True,False,True,False
2014,40000,2,False,False,False,False,True,False,True,False,False,True
2013,20000,1,False,True,False,False,False,True,False,False,False,True
2014,55000,1,False,False,False,False,True,True,False,False,False,True
2013,55000,1,False,False,False,False,True,True,False,False,False,True
2014,43000,1,False,False,False,False,True,True,False,False,False,True
2016,60000,1,False,True,False,False,False,False,True,False,False,True
2016,115962,2,False,True,False,False,False,False,True,False,False,True
2015,65000,1,False,True,False,False,False,True,False,False,False,True
2012,58000,1,False,True,False,False,False,True,False,False,False,True
2013,15000,1,False,True,False,False,False,False,True,False,True,False
2012,54000,1,False,False,False,False,True,True,False,False,False,True
2006,120000,3,False,False,False,False,True,False,True,False,False,True
2009,90000,2,False,False,False,True,False,False,True,False,False,True
2012,70000,2,False,False,False,False,True,False,True,False,False,True
2008,90000,2,False,False,False,False,True,False,True,False,False,True
2008,213000,1,False,True,False,False,False,False,True,False,False,True
2012,120000,1,False,True,False,False,False,False,True,False,False,True
2012,80000,2,False,True,False,False,False,False,True,False,False,True
2015,90000,1,False,False,False,False,True,False,True,False,False,True
2008,80000,1,False,False,False,False,True,False,True,False,False,True
2008,60000,2,False,False,False,False,True,False,True,False,False,True
2011,139000,2,False,False,False,False,True,False,True,False,False,True
2011,160000,2,False,True,False,False,False,False,True,False,False,True
2014,150000,1,False,True,False,False,False,False,True,False,False,True
2010,163000,4,False,True,False,False,False,False,True,False,False,True
2009,120000,1,False,True,False,False,False,True,False,False,False,True
2011,120000,2,False,True,False,False,False,False,True,False,False,True
2012,100000,2,False,True,False,False,False,False,True,False,False,True
2015,140000,1,False,True,False,False,False,True,False,False,False,True
2010,87000,2,False,True,False,False,False,True,False,False,False,True
2013,70000,1,False,False,False,False,True,False,True,False,False,True
2015,50000,2,False,False,False,False,True,False,True,False,False,True
2014,70000,1,False,True,False,False,False,False,True,False,False,True
2014,150000,1,False,True,False,False,False,False,True,False,False,True
2011,80000,2,False,True,False,False,False,False,True,False,False,True
2006,120000,3,False,True,False,False,False,False,True,False,False,True
2013,49000,1,False,False,False,False,True,False,True,False,False,True
2006,100000,2,False,True,False,False,False,False,True,False,False,True
2002,100000,2,False,False,False,False,True,False,True,False,False,True
2009,50000,1,False,False,False,False,True,False,True,False,False,True
2002,120000,1,False,True,False,False,False,False,True,False,False,True
2010,130000,1,False,True,False,False,False,False,True,False,False,True
2014,20000,1,False,False,False,False,True,False,True,False,False,True
2009,60000,2,False,True,False,False,False,False,True,False,False,True
2007,195000,1,False,False,False,False,True,False,True,False,False,True
2010,90000,2,False,False,False,False,True,False,True,False,False,True
2006,80000,3,False,False,False,False,True,False,True,False,False,True
2011,155000,1,False,False,False,False,True,False,True,False,False,True
2010,80000,2,False,False,False,False,True,False,True,False,False,True
2009,50000,1,False,False,False,False,True,False,True,False,False,True
2010,110000,2,False,False,False,False,True,False,True,False,False,True
2013,29000,1,False,True,False,False,False,False,True,False,False,True
2013,120000,1,False,True,False,False,False,False,True,False,False,True
2011,70000,2,False,True,False,False,False,False,True,False,False,True
2013,40000,1,False,False,False,False,True,False,True,False,False,True
2013,50000,2,False,False,False,False,True,False,True,False,False,True
2013,50000,1,False,False,False,False,True,False,True,False,False,True
2012,49000,2,False,False,False,False,True,False,True,False,False,True
2011,70000,2,False,True,False,False,False,False,True,False,True,False
2011,90000,2,False,True,False,False,False,False,True,False,False,True
2015,15000,1,False,True,False,False,False,False,True,False,False,True
2014,41000,1,False,False,False,False,True,True,False,False,False,True
2012,28000,1,False,False,False,False,True,False,True,False,False,True
2015,70000,1,False,False,False,False,True,False,True,False,False,True
2009,50000,1,False,False,False,False,True,False,True,False,False,True
2016,51000,1,False,True,False,False,False,True,False,False,False,True
2015,25000,1,False,False,False,False,True,False,True,False,False,True
2014,30000,1,False,False,False,False,True,False,True,False,False,True
2014,80000,1,False,True,False,False,False,True,False,False,False,True
2015,200000,1,False,True,False,False,False,False,True,False,False,True
2013,44000,1,False,False,False,False,True,True,False,False,False,True
2015,10000,1,False,False,False,False,True,False,True,False,False,True
2005,40000,2,False,False,False,False,True,False,True,False,False,True
2011,50000,1,False,True,False,False,False,False,True,False,False,True
2009,46730,1,False,False,False,False,True,False,True,False,False,True
2015,40000,2,False,False,False,False,True,False,True,False,False,True
2011,80000,1,False,True,False,False,False,False,True,False,False,True
2002,80000,2,False,False,False,False,True,False,True,False,False,True
2013,167223,1,False,True,False,False,False,True,False,False,True,False
2011,60000,1,False,True,False,False,False,False,True,False,True,False
2016,141440,1,False,True,False,False,False,True,False,False,False,True
2007,120000,3,False,True,False,False,False,False,True,False,False,True
2012,140000,1,False,False,False,False,True,False,True,False,True,False
2012,212814,1,False,True,False,False,False,True,False,False,False,True
2012,110000,2,False,True,False,False,False,False,True,False,False,True
2008,120000,3,False,True,False,False,False,False,True,False,False,True
2011,149674,2,False,True,False,False,False,True,False,False,False,True
2007,100000,3,False,True,False,False,False,False,True,False,False,True
2006,120000,3,False,False,False,False,True,False,True,False,False,True
2003,120000,2,False,True,False,False,False,False,True,False,False,True
2014,35000,2,False,False,False,False,True,False,True,False,False,True
2002,40000,1,False,False,False,False,True,False,True,False,False,True
2015,60000,2,False,True,False,False,False,False,True,False,False,True
2012,50000,2,False,True,False,False,False,False,True,False,False,True
2013,25000,4,False,False,False,False,True,False,True,False,False,True
2016,25000,1,False,False,False,False,True,False,True,False,False,True
2006,200000,3,False,True,False,False,False,False,True,False,False,True
2013,100000,1,False,False,False,False,True,False,True,False,False,True
2015,70000,2,False,True,False,False,False,False,True,False,False,True
2012,68000,1,False,True,False,False,False,True,False,False,False,True
2013,80000,1,False,True,False,False,False,True,False,False,False,True
2014,72000,1,True,False,False,False,False,True,False,False,False,True
2012,75000,1,True,False,False,False,False,True,False,False,False,True
2014,43000,1,False,False,False,False,True,True,False,False,False,True
2007,120000,2,False,False,False,False,True,False,True,False,False,True
2015,100000,1,False,True,False,False,False,False,True,False,False,True
2014,163000,1,False,True,False,False,False,False,True,False,False,True
2011,25000,1,False,False,False,False,True,False,True,False,False,True
2007,90000,2,False,False,False,False,True,False,True,False,False,True
2014,70000,2,False,True,False,False,False,False,True,False,False,True
2010,98000,2,True,False,False,False,False,False,True,False,False,True
2010,81925,1,False,True,False,False,False,False,True,False,False,True
2013,80000,2,False,True,False,False,False,False,True,False,False,True
2014,90000,1,False,True,False,False,False,False,True,False,False,True
2012,46000,1,False,False,False,False,True,False,True,False,False,True
2012,80000,1,False,True,False,False,False,False,True,False,False,True
2012,200000,1,False,True,False,False,False,False,True,False,False,True
2009,70000,1,False,False,False,False,True,False,True,False,False,True
2000,40000,3,False,False,False,False,True,False,True,False,False,True
2010,120000,3,False,True,False,False,False,False,True,False,False,True
2007,60000,3,False,False,False,False,True,False,True,False,False,True
2013,110000,1,False,True,False,False,False,False,True,False,False,True
2011,97000,2,False,True,False,False,False,False,True,False,False,True
2010,40000,1,False,False,False,False,True,False,True,False,False,True
2010,52047,1,False,False,False,False,True,False,True,False,False,True
2011,200000,3,False,True,False,False,False,False,True,False,False,True
2011,70000,2,False,False,False,False,True,False,True,False,False,True
2016,40000,1,False,False,False,False,True,False,True,False,False,True
2006,62009,2,False,False,False,False,True,False,True,False,False,True
2014,40000,2,False,False,False,False,True,False,True,False,False,True
1999,120000,2,False,False,False,False,True,False,True,False,False,True
2007,80000,1,False,False,False,False,True,False,True,False,False,True
2016,70000,1,False,True,False,False,False,False,True,False,False,True
2006,220000,2,False,False,False,False,True,False,True,False,False,True
2010,50000,1,False,True,False,False,False,False,True,False,False,True
2015,45000,2,False,False,False,False,True,False,True,False,False,True
2014,110000,1,False,True,False,False,False,False,True,False,False,True
2014,49000,1,False,True,False,False,False,False,True,False,False,True
2007,180000,3,False,False,False,False,True,False,True,False,False,True
2007,60000,2,False,False,False,False,True,False,True,False,False,True
2008,110000,3,False,True,False,False,False,False,True,False,False,True
2004,60000,3,False,False,False,False,True,False,True,False,False,True
2016,30000,1,False,False,False,False,True,False,True,False,False,True
2009,70000,1,False,False,False,False,True,False,True,False,False,True
2010,120000,2,False,True,False,False,False,False,True,False,False,True
2012,80000,3,False,True,False,False,False,False,True,False,False,True
2015,120000,1,False,True,False,False,False,False,True,False,False,True
2008,35000,2,False,False,False,False,True,False,True,False,False,True
2013,120000,2,False,True,False,False,False,False,True,False,False,True
2011,40000,2,False,True,False,False,False,False,True,False,False,True
2011,54000,2,False,True,False,False,False,False,True,False,False,True
2011,127500,2,False,True,False,False,False,False,True,False,False,True
2015,40903,1,False,False,False,False,True,True,False,False,False,True
2011,60000,3,False,False,False,False,True,False,True,False,False,True
2004,46000,1,False,False,False,False,True,False,True,False,False,True
2004,22288,2,False,True,False,False,False,True,False,False,False,True
2011,180000,2,False,True,False,False,False,False,True,False,False,True
2015,30000,2,False,True,False,False,False,False,True,False,False,True
2015,61690,1,False,False,False,False,True,True,False,False,False,True
2015,64484,1,False,False,False,False,True,True,False,False,False,True
2012,90000,2,False,True,False,False,False,False,True,False,True,False
2013,75976,2,False,True,False,False,False,True,False,False,False,True
2011,70000,2,False,True,False,False,False,False,True,False,False,True
2012,85962,2,False,False,False,False,True,True,False,False,False,True
2015,120000,1,False,True,False,False,False,False,True,False,False,True
2012,75000,2,False,False,False,False,True,False,True,False,True,False
2009,57035,1,False,False,False,False,True,True,False,False,False,True
2011,70000,3,False,True,False,False,False,False,True,False,False,True
2015,45000,1,False,False,False,False,True,False,True,False,False,True
2013,72104,2,False,True,False,False,False,True,False,False,False,True
2011,15000,1,False,False,False,False,True,False,True,False,False,True
2016,30000,1,False,False,False,False,True,False,True,False,False,True
2011,80000,1,False,True,False,False,False,False,True,False,False,True
2009,164000,2,False,True,False,False,False,False,True,False,False,True
2006,124439,2,False,False,False,False,True,False,True,False,False,True
2006,77000,2,False,False,False,False,True,False,True,False,False,True
2014,90000,1,False,True,False,False,False,False,True,False,False,True
2012,50000,1,False,False,False,False,True,False,True,False,False,True
2012,80000,2,False,True,False,False,False,False,True,False,False,True
2016,78000,3,False,True,False,False,False,False,True,False,False,True
2001,100000,2,False,False,False,False,True,False,True,False,False,True
2015,17152,1,False,False,False,False,True,False,True,False,False,True
2012,77000,1,False,True,False,False,False,False,True,False,False,True
2008,90000,2,False,True,False,False,False,False,True,False,False,True
2011,80000,2,False,False,False,False,True,False,True,False,False,True
2015,65000,1,False,True,False,False,False,False,True,False,False,True
2011,80000,1,False,True,False,False,False,False,True,False,False,True
2013,24005,1,False,False,False,False,True,False,True,False,False,True
2014,120000,1,False,True,False,False,False,False,True,False,False,True
2009,120000,2,False,False,False,False,True,False,True,False,False,True
2015,80000,1,False,True,False,False,False,False,True,False,False,True
2005,80000,1,False,False,False,False,True,False,True,False,False,True
2012,100000,1,False,True,False,False,False,False,True,False,False,True
2009,120000,2,False,False,False,False,True,False,True,False,False,True
2011,149000,2,False,True,False,False,False,False,True,False,False,True
2005,65000,2,False,False,False,False,True,False,True,False,False,True
2009,100000,2,False,True,False,False,False,False,True,False,False,True
2011,65000,2,False,True,False,False,False,False,True,False,False,True
2010,80000,2,False,False,False,False,True,False,True,False,False,True
2015,30000,1,False,False,False,False,True,False,True,False,False,True
2012,109000,1,False,True,False,False,False,False,True,False,False,True
2012,90000,1,False,False,False,True,False,False,True,False,False,True
2012,90000,1,False,False,False,False,True,False,True,False,False,True
2011,65000,2,False,True,False,False,False,False,True,False,False,True
2010,110000,2,False,True,False,False,False,False,True,False,False,True
2007,120000,1,False,True,False,False,False,False,True,False,False,True
2014,44000,1,False,True,False,False,False,False,True,False,False,True
2015,80000,1,False,False,False,False,True,False,True,False,False,True
2016,61000,1,False,False,False,False,True,False,True,False,False,True
2011,100000,2,False,True,False,False,False,False,True,False,False,True
2009,27633,1,False,False,False,False,True,False,True,False,False,True
2010,100000,3,False,True,False,False,False,False,True,False,False,True
2012,100000,1,False,False,False,True,False,False,True,False,False,True
2012,55328,1,False,True,False,False,False,True,False,False,False,True
2012,81632,1,False,True,False,False,False,True,False,False,False,True
2016,155201,1,False,True,False,False,False,True,False,False,False,True
2013,93283,1,False,True,False,False,False,True,False,False,False,True
2009,217871,1,False,True,False,False,False,True,False,False,False,True
2012,90165,1,False,True,False,False,False,True,False,False,False,True
2014,101504,1,False,True,False,False,False,True,False,False,False,True
2010,86017,2,False,True,False,False,False,True,False,False,False,True
2013,85036,2,False,True,False,False,False,True,False,False,False,True
2006,91086,2,False,False,False,False,True,True,False,False,False,True
2013,160254,2,False,True,False,False,False,True,False,False,False,True
2013,125531,2,False,True,False,False,False,True,False,False,False,True
2006,100000,1,False,True,False,False,False,False,True,False,False,True
2013,90000,3,False,True,False,False,False,False,True,False,False,True
2009,120000,2,False,True,False,False,False,False,True,False,False,True
2014,82000,1,False,True,False,False,False,False,True,False,False,True
2016,60000,1,False,True,False,False,False,False,True,False,False,True
2014,120000,1,False,True,False,False,False,False,True,False,False,True
2013,65000,1,False,True,False,False,False,True,False,False,False,True
2013,65000,1,False,True,False,False,False,True,False,False,False,True
2015,84000,1,False,True,False,False,False,True,False,False,False,True
2013,75000,1,False,True,False,False,False,True,False,False,False,True
2007,50000,1,False,True,False,False,False,True,False,False,False,True
2011,50000,1,False,False,False,False,True,False,True,False,False,True
2007,49000,1,False,False,False,False,True,True,False,False,False,True
2016,560000,1,False,True,False,False,False,True,False,False,False,True
2015,14365,1,False,False,False,False,True,True,False,False,False,True
2013,65000,1,False,True,False,False,False,True,False,False,False,True
2015,65000,1,False,True,False,False,False,True,False,False,False,True
2013,61083,1,False,True,False,False,False,True,False,False,False,True
2013,75000,1,False,True,False,False,False,False,True,False,False,True
2012,72000,1,False,True,False,False,False,True,False,False,False,True
2014,65000,1,False,True,False,False,False,True,False,False,False,True
2015,21000,2,False,False,False,False,True,True,False,False,False,True
2012,66363,2,False,False,False,False,True,True,False,False,True,False
2014,100000,2,False,True,False,False,False,False,True,False,True,False
2016,7104,1,False,False,False,False,True,False,False,True,False,True
2015,45974,1,False,True,False,False,False,False,False,True,False,True
2015,55340,1,False,False,False,False,True,False,False,True,False,True
2015,61585,1,False,True,False,False,False,False,False,True,False,True
2016,39415,2,False,False,False,False,True,False,False,True,True,False
2014,29654,1,False,False,False,False,True,False,False,True,False,True
2016,64672,1,False,True,False,False,False,False,False,True,False,True
2015,54634,2,False,True,False,False,False,False,False,True,True,False
2015,66521,1,False,False,False,False,True,False,False,True,False,True
2016,43000,1,False,True,False,False,False,True,False,False,True,False
2013,1000,2,False,True,False,False,False,True,False,False,False,True
2013,86000,1,False,True,False,False,False,True,False,False,True,False
2016,52600,1,False,True,False,False,False,False,True,False,False,True
2012,110000,2,False,False,False,False,True,False,True,False,False,True
2016,7104,1,False,False,False,False,True,False,False,True,False,True
2015,11918,1,False,False,False,False,True,False,False,True,False,True
2016,41000,1,False,False,False,False,True,True,False,False,False,True
2015,45974,1,False,True,False,False,False,False,False,True,False,True
2012,49824,1,False,False,False,False,True,True,False,False,False,True
2013,58500,1,False,True,False,False,False,True,False,False,True,False
2005,56580,1,False,False,False,False,True,True,False,False,False,True
2012,52000,1,False,True,False,False,False,True,False,False,False,True
2015,55340,1,False,False,False,False,True,False,False,True,False,True
2013,1000,2,False,True,False,False,False,True,False,False,False,True
2013,86000,1,False,True,False,False,False,True,False,False,True,False
2016,52600,1,False,True,False,False,False,False,True,False,False,True
2012,110000,2,False,False,False,False,True,False,True,False,False,True
2016,7104,1,False,False,False,False,True,False,False,True,False,True
2015,11918,1,False,False,False,False,True,False,False,True,False,True
2016,41000,1,False,False,False,False,True,True,False,False,False,True
2015,45974,1,False,True,False,False,False,False,False,True,False,True
2012,49824,1,False,False,False,False,True,True,False,False,False,True
2013,58500,1,False,True,False,False,False,True,False,False,True,False
2005,56580,1,False,False,False,False,True,True,False,False,False,True
2012,52000,1,False,True,False,False,False,True,False,False,False,True
2015,55340,1,False,False,False,False,True,False,False,True,False,True
2013,1000,2,False,True,False,False,False,True,False,False,False,True
2013,86000,1,False,True,False,False,False,True,False,False,True,False
2016,52600,1,False,True,False,False,False,False,True,False,False,True
2012,110000,2,False,False,False,False,True,False,True,False,False,True
2016,7104,1,False,False,False,False,True,False,False,True,False,True
2015,11918,1,False,False,False,False,True,False,False,True,False,True
2016,41000,1,False,False,False,False,True,True,False,False,False,True
2015,45974,1,False,True,False,False,False,False,False,True,False,True
2012,49824,1,False,False,False,False,True,True,False,False,False,True
2013,58500,1,False,True,False,False,False,True,False,False,True,False
2005,56580,1,False,False,False,False,True,True,False,False,False,True
2012,52000,1,False,True,False,False,False,True,False,False,False,True
2015,55340,1,False,False,False,False,True,False,False,True,False,True
2013,1000,2,False,True,False,False,False,True,False,False,False,True
2013,86000,1,False,True,False,False,False,True,False,False,True,False
2016,52600,1,False,True,False,False,False,False,True,False,False,True
2012,110000,2,False,False,False,False,True,False,True,False,False,True
2016,7104,1,False,False,False,False,True,False,False,True,False,True
2015,11918,1,False,False,False,False,True,False,False,True,False,True
2016,41000,1,False,False,False,False,True,True,False,False,False,True
2015,45974,1,False,True,False,False,False,False,False,True,False,True
2012,49824,1,False,False,False,False,True,True,False,False,False,True
2013,58500,1,False,True,False,False,False,True,False,False,True,False
2005,56580,1,False,False,False,False,True,True,False,False,False,True
2012,52000,1,False,True,False,False,False,True,False,False,False,True
2015,55340,1,False,False,False,False,True,False,False,True,False,True
2013,50000,2,False,False,False,False,True,False,True,False,False,True
2014,30000,1,False,False,False,False,True,False,True,False,False,True
2013,50000,2,False,False,False,False,True,False,True,False,False,True
1995,100000,2,False,False,False,False,True,False,True,False,False,True
2016,35000,1,False,True,False,False,False,False,True,False,False,True
2012,90000,2,False,False,False,False,True,False,True,False,False,True
2014,11451,1,False,False,False,False,True,False,True,False,False,True
2012,172000,2,False,True,False,False,False,False,True,False,False,True
2005,150000,1,False,True,False,False,False,False,True,False,False,True
2009,66000,1,False,True,False,False,False,False,True,False,False,True
2006,66508,2,False,False,False,False,True,False,True,False,False,True
2007,55000,2,False,False,False,False,True,False,True,False,False,True
2012,29900,1,False,False,False,False,True,False,True,False,False,True
2012,85000,1,False,True,False,False,False,False,True,False,False,True
2011,50000,1,False,True,False,False,False,False,True,False,False,True
2010,120000,2,False,True,False,False,False,False,True,False,False,True
2008,90000,3,False,False,False,False,True,False,True,False,False,True
2015,7900,1,False,False,False,False,True,False,True,False,True,False
2016,25000,1,False,False,False,False,True,False,True,False,False,True
2009,20000,1,False,False,False,False,True,False,True,False,False,True
2008,25000,1,False,False,False,False,True,False,True,False,False,True
2013,206500,1,False,True,False,False,False,False,True,False,False,True
2013,88600,1,False,False,False,True,False,False,True,False,False,True
2012,80000,1,False,True,False,False,False,False,True,False,False,True
2008,100000,4,False,True,False,False,False,False,True,False,False,True
