,buying_price,maintenance_cost,doors,persons_capacity,luggage_boot,safety
1483,0.0,2.0,2.0,2.0,2.0,1.0
734,2.0,1.0,3.0,0.0,1.0,2.0
133,3.0,2.0,0.0,2.0,2.0,1.0
1253,1.0,0.0,2.0,1.0,0.0,2.0
83,3.0,3.0,3.0,0.0,0.0,2.0
211,3.0,2.0,3.0,2.0,1.0,1.0
1217,1.0,0.0,1.0,0.0,0.0,2.0
1006,1.0,2.0,1.0,0.0,2.0,1.0
253,3.0,1.0,1.0,1.0,0.0,1.0
1000,1.0,2.0,1.0,0.0,0.0,1.0
1341,0.0,3.0,1.0,2.0,0.0,0.0
531,2.0,3.0,3.0,2.0,0.0,0.0
736,2.0,1.0,3.0,0.0,2.0,1.0
226,3.0,1.0,0.0,1.0,0.0,1.0
773,2.0,0.0,0.0,1.0,2.0,2.0
1051,1.0,2.0,2.0,2.0,2.0,1.0
10,3.0,3.0,0.0,1.0,0.0,1.0
252,3.0,1.0,1.0,1.0,0.0,0.0
1623,0.0,0.0,0.0,0.0,1.0,0.0
234,3.0,1.0,0.0,2.0,0.0,0.0
1024,1.0,2.0,1.0,2.0,2.0,1.0
818,2.0,0.0,2.0,0.0,2.0,2.0
564,2.0,2.0,0.0,2.0,2.0,0.0
1518,0.0,1.0,0.0,0.0,2.0,0.0
185,3.0,2.0,2.0,2.0,1.0,2.0
1539,0.0,1.0,1.0,0.0,0.0,0.0
1382,0.0,3.0,3.0,0.0,1.0,2.0
1018,1.0,2.0,1.0,2.0,0.0,1.0
697,2.0,1.0,1.0,2.0,1.0,1.0
276,3.0,1.0,2.0,0.0,2.0,0.0
543,2.0,2.0,0.0,0.0,1.0,0.0
1081,1.0,1.0,0.0,0.0,0.0,1.0
656,2.0,1.0,0.0,0.0,2.0,2.0
597,2.0,2.0,2.0,0.0,1.0,0.0
1593,0.0,1.0,3.0,0.0,0.0,0.0
306,3.0,1.0,3.0,1.0,0.0,0.0
28,3.0,3.0,1.0,0.0,0.0,1.0
1309,0.0,3.0,0.0,1.0,1.0,1.0
1239,1.0,0.0,1.0,2.0,2.0,0.0
449,2.0,3.0,0.0,1.0,2.0,2.0
232,3.0,1.0,0.0,1.0,2.0,1.0
79,3.0,3.0,2.0,2.0,2.0,1.0
1553,0.0,1.0,1.0,1.0,1.0,2.0
520,2.0,3.0,3.0,0.0,2.0,1.0
631,2.0,2.0,3.0,1.0,0.0,1.0
727,2.0,1.0,2.0,2.0,2.0,1.0
873,1.0,3.0,0.0,1.0,0.0,0.0
406,3.0,0.0,3.0,0.0,0.0,1.0
550,2.0,2.0,0.0,1.0,0.0,1.0
1636,0.0,0.0,0.0,1.0,2.0,1.0
578,2.0,2.0,1.0,1.0,0.0,2.0
1500,0.0,2.0,3.0,1.0,2.0,0.0
330,3.0,0.0,0.0,0.0,2.0,0.0
660,2.0,1.0,0.0,1.0,1.0,0.0
1023,1.0,2.0,1.0,2.0,2.0,0.0
1109,1.0,1.0,1.0,0.0,0.0,2.0
574,2.0,2.0,1.0,0.0,2.0,1.0
544,2.0,2.0,0.0,0.0,1.0,1.0
1576,0.0,1.0,2.0,1.0,0.0,1.0
646,2.0,2.0,3.0,2.0,2.0,1.0
682,2.0,1.0,1.0,0.0,2.0,1.0
782,2.0,0.0,0.0,2.0,2.0,2.0
1294,1.0,0.0,3.0,2.0,2.0,1.0
1714,0.0,0.0,3.0,1.0,1.0,1.0
260,3.0,1.0,1.0,1.0,2.0,2.0
561,2.0,2.0,0.0,2.0,1.0,0.0
1201,1.0,0.0,0.0,1.0,1.0,1.0
726,2.0,1.0,2.0,2.0,2.0,0.0
712,2.0,1.0,2.0,1.0,0.0,1.0
130,3.0,2.0,0.0,2.0,1.0,1.0
601,2.0,2.0,2.0,0.0,2.0,1.0
751,2.0,1.0,3.0,2.0,1.0,1.0
1248,1.0,0.0,2.0,0.0,2.0,0.0
1116,1.0,1.0,1.0,1.0,0.0,0.0
609,2.0,2.0,2.0,1.0,2.0,0.0
1250,1.0,0.0,2.0,0.0,2.0,2.0
1542,0.0,1.0,1.0,0.0,1.0,0.0
1684,0.0,0.0,2.0,1.0,0.0,1.0
114,3.0,2.0,0.0,0.0,2.0,0.0
72,3.0,3.0,2.0,2.0,0.0,0.0
756,2.0,0.0,0.0,0.0,0.0,0.0
29,3.0,3.0,1.0,0.0,0.0,2.0
698,2.0,1.0,1.0,2.0,1.0,2.0
1267,1.0,0.0,2.0,2.0,2.0,1.0
1715,0.0,0.0,3.0,1.0,1.0,2.0
1707,0.0,0.0,3.0,0.0,2.0,0.0
164,3.0,2.0,2.0,0.0,0.0,2.0
1146,1.0,1.0,2.0,1.0,1.0,0.0
1104,1.0,1.0,0.0,2.0,2.0,0.0
670,2.0,1.0,0.0,2.0,1.0,1.0
1653,0.0,0.0,1.0,0.0,2.0,0.0
1204,1.0,0.0,0.0,1.0,2.0,1.0
1243,1.0,0.0,2.0,0.0,0.0,1.0
590,2.0,2.0,1.0,2.0,1.0,2.0
775,2.0,0.0,0.0,2.0,0.0,1.0
922,1.0,3.0,2.0,0.0,1.0,1.0
562,2.0,2.0,0.0,2.0,1.0,1.0
1704,0.0,0.0,3.0,0.0,1.0,0.0
881,1.0,3.0,0.0,1.0,2.0,2.0
1105,1.0,1.0,0.0,2.0,2.0,1.0
52,3.0,3.0,1.0,2.0,2.0,1.0
204,3.0,2.0,3.0,1.0,2.0,0.0
755,2.0,1.0,3.0,2.0,2.0,2.0
980,1.0,2.0,0.0,0.0,2.0,2.0
781,2.0,0.0,0.0,2.0,2.0,1.0
1534,0.0,1.0,0.0,2.0,1.0,1.0
311,3.0,1.0,3.0,1.0,1.0,2.0
207,3.0,2.0,3.0,2.0,0.0,0.0
575,2.0,2.0,1.0,0.0,2.0,2.0
905,1.0,3.0,1.0,1.0,1.0,2.0
199,3.0,2.0,3.0,1.0,0.0,1.0
830,2.0,0.0,2.0,2.0,0.0,2.0
1004,1.0,2.0,1.0,0.0,1.0,2.0
30,3.0,3.0,1.0,0.0,1.0,0.0
785,2.0,0.0,1.0,0.0,0.0,2.0
1295,1.0,0.0,3.0,2.0,2.0,2.0
864,1.0,3.0,0.0,0.0,0.0,0.0
1702,0.0,0.0,3.0,0.0,0.0,1.0
1531,0.0,1.0,0.0,2.0,0.0,1.0
223,3.0,1.0,0.0,0.0,2.0,1.0
535,2.0,3.0,3.0,2.0,1.0,1.0
1402,0.0,3.0,3.0,2.0,2.0,1.0
362,3.0,0.0,1.0,1.0,0.0,2.0
1708,0.0,0.0,3.0,0.0,2.0,1.0
1015,1.0,2.0,1.0,1.0,2.0,1.0
580,2.0,2.0,1.0,1.0,1.0,1.0
1716,0.0,0.0,3.0,1.0,2.0,0.0
96,3.0,3.0,3.0,1.0,2.0,0.0
896,1.0,3.0,1.0,0.0,1.0,2.0
54,3.0,3.0,2.0,0.0,0.0,0.0
1698,0.0,0.0,2.0,2.0,2.0,0.0
121,3.0,2.0,0.0,1.0,1.0,1.0
758,2.0,0.0,0.0,0.0,0.0,2.0
172,3.0,2.0,2.0,1.0,0.0,1.0
278,3.0,1.0,2.0,0.0,2.0,2.0
163,3.0,2.0,2.0,0.0,0.0,1.0
855,2.0,0.0,3.0,2.0,0.0,0.0
1417,0.0,2.0,0.0,1.0,1.0,1.0
165,3.0,2.0,2.0,0.0,1.0,0.0
1459,0.0,2.0,2.0,0.0,0.0,1.0
92,3.0,3.0,3.0,1.0,0.0,2.0
116,3.0,2.0,0.0,0.0,2.0,2.0
102,3.0,3.0,3.0,2.0,1.0,0.0
1689,0.0,0.0,2.0,1.0,2.0,0.0
514,2.0,3.0,3.0,0.0,0.0,1.0
4,3.0,3.0,0.0,0.0,1.0,1.0
902,1.0,3.0,1.0,1.0,0.0,2.0
960,1.0,3.0,3.0,1.0,2.0,0.0
1191,1.0,0.0,0.0,0.0,1.0,0.0
21,3.0,3.0,0.0,2.0,1.0,0.0
443,2.0,3.0,0.0,1.0,0.0,2.0
1337,0.0,3.0,1.0,1.0,1.0,2.0
1506,0.0,2.0,3.0,2.0,1.0,0.0
523,2.0,3.0,3.0,1.0,0.0,1.0
184,3.0,2.0,2.0,2.0,1.0,1.0
941,1.0,3.0,2.0,2.0,1.0,2.0
847,2.0,0.0,3.0,1.0,0.0,1.0
893,1.0,3.0,1.0,0.0,0.0,2.0
1487,0.0,2.0,3.0,0.0,0.0,2.0
1143,1.0,1.0,2.0,1.0,0.0,0.0
263,3.0,1.0,1.0,2.0,0.0,2.0
1334,0.0,3.0,1.0,1.0,0.0,2.0
1213,1.0,0.0,0.0,2.0,2.0,1.0
1618,0.0,1.0,3.0,2.0,2.0,1.0
407,3.0,0.0,3.0,0.0,0.0,2.0
395,3.0,0.0,2.0,1.0,2.0,2.0
271,3.0,1.0,2.0,0.0,0.0,1.0
796,2.0,0.0,1.0,1.0,1.0,1.0
24,3.0,3.0,0.0,2.0,2.0,0.0
603,2.0,2.0,2.0,1.0,0.0,0.0
38,3.0,3.0,1.0,1.0,0.0,2.0
95,3.0,3.0,3.0,1.0,1.0,2.0
1371,0.0,3.0,2.0,2.0,1.0,0.0
1677,0.0,0.0,2.0,0.0,1.0,0.0
262,3.0,1.0,1.0,2.0,0.0,1.0
964,1.0,3.0,3.0,2.0,0.0,1.0
709,2.0,1.0,2.0,0.0,2.0,1.0
1662,0.0,0.0,1.0,1.0,2.0,0.0
1305,0.0,3.0,0.0,1.0,0.0,0.0
1207,1.0,0.0,0.0,2.0,0.0,1.0
1139,1.0,1.0,2.0,0.0,1.0,2.0
325,3.0,0.0,0.0,0.0,0.0,1.0
868,1.0,3.0,0.0,0.0,1.0,1.0
579,2.0,2.0,1.0,1.0,1.0,0.0
842,2.0,0.0,3.0,0.0,1.0,2.0
113,3.0,2.0,0.0,0.0,1.0,2.0
1392,0.0,3.0,3.0,1.0,2.0,0.0
990,1.0,2.0,0.0,2.0,0.0,0.0
1440,0.0,2.0,1.0,1.0,0.0,0.0
1349,0.0,3.0,1.0,2.0,2.0,2.0
577,2.0,2.0,1.0,1.0,0.0,1.0
462,2.0,3.0,1.0,0.0,1.0,0.0
501,2.0,3.0,2.0,1.0,2.0,0.0
803,2.0,0.0,1.0,2.0,0.0,2.0
1522,0.0,1.0,0.0,1.0,0.0,1.0
227,3.0,1.0,0.0,1.0,0.0,2.0
1466,0.0,2.0,2.0,0.0,2.0,2.0
1643,0.0,0.0,0.0,2.0,1.0,2.0
1383,0.0,3.0,3.0,0.0,2.0,0.0
347,3.0,0.0,0.0,2.0,1.0,2.0
1415,0.0,2.0,0.0,1.0,0.0,2.0
71,3.0,3.0,2.0,1.0,2.0,2.0
1231,1.0,0.0,1.0,1.0,2.0,1.0
1404,0.0,2.0,0.0,0.0,0.0,0.0
748,2.0,1.0,3.0,2.0,0.0,1.0
1526,0.0,1.0,0.0,1.0,1.0,2.0
770,2.0,0.0,0.0,1.0,1.0,2.0
100,3.0,3.0,3.0,2.0,0.0,1.0
1485,0.0,2.0,3.0,0.0,0.0,0.0
1639,0.0,0.0,0.0,2.0,0.0,1.0
441,2.0,3.0,0.0,1.0,0.0,0.0
1711,0.0,0.0,3.0,1.0,0.0,1.0
322,3.0,1.0,3.0,2.0,2.0,1.0
1327,0.0,3.0,1.0,0.0,1.0,1.0
1234,1.0,0.0,1.0,2.0,0.0,1.0
381,3.0,0.0,2.0,0.0,1.0,0.0
788,2.0,0.0,1.0,0.0,1.0,2.0
370,3.0,0.0,1.0,2.0,0.0,1.0
1552,0.0,1.0,1.0,1.0,1.0,1.0
289,3.0,1.0,2.0,2.0,0.0,1.0
179,3.0,2.0,2.0,1.0,2.0,2.0
1017,1.0,2.0,1.0,2.0,0.0,0.0
635,2.0,2.0,3.0,1.0,1.0,2.0
1244,1.0,0.0,2.0,0.0,0.0,2.0
55,3.0,3.0,2.0,0.0,0.0,1.0
504,2.0,3.0,2.0,2.0,0.0,0.0
170,3.0,2.0,2.0,0.0,2.0,2.0
1499,0.0,2.0,3.0,1.0,1.0,2.0
1230,1.0,0.0,1.0,1.0,2.0,0.0
1407,0.0,2.0,0.0,0.0,1.0,0.0
883,1.0,3.0,0.0,2.0,0.0,1.0
411,3.0,0.0,3.0,0.0,2.0,0.0
0,3.0,3.0,0.0,0.0,0.0,0.0
771,2.0,0.0,0.0,1.0,2.0,0.0
1691,0.0,0.0,2.0,1.0,2.0,2.0
1059,1.0,2.0,3.0,0.0,2.0,0.0
1312,0.0,3.0,0.0,1.0,2.0,1.0
746,2.0,1.0,3.0,1.0,2.0,2.0
255,3.0,1.0,1.0,1.0,1.0,0.0
1333,0.0,3.0,1.0,1.0,0.0,1.0
1238,1.0,0.0,1.0,2.0,1.0,2.0
1559,0.0,1.0,1.0,2.0,0.0,2.0
1602,0.0,1.0,3.0,1.0,0.0,0.0
679,2.0,1.0,1.0,0.0,1.0,1.0
1550,0.0,1.0,1.0,1.0,0.0,2.0
1590,0.0,1.0,2.0,2.0,2.0,0.0
768,2.0,0.0,0.0,1.0,1.0,0.0
1039,1.0,2.0,2.0,1.0,1.0,1.0
571,2.0,2.0,1.0,0.0,1.0,1.0
1142,1.0,1.0,2.0,0.0,2.0,2.0
1013,1.0,2.0,1.0,1.0,1.0,2.0
1630,0.0,0.0,0.0,1.0,0.0,1.0
1409,0.0,2.0,0.0,0.0,1.0,2.0
469,2.0,3.0,1.0,1.0,0.0,1.0
1219,1.0,0.0,1.0,0.0,1.0,1.0
194,3.0,2.0,3.0,0.0,1.0,2.0
717,2.0,1.0,2.0,1.0,2.0,0.0
218,3.0,1.0,0.0,0.0,0.0,2.0
1319,0.0,3.0,0.0,2.0,1.0,2.0
840,2.0,0.0,3.0,0.0,1.0,0.0
1,3.0,3.0,0.0,0.0,0.0,1.0
496,2.0,3.0,2.0,1.0,0.0,1.0
153,3.0,2.0,1.0,2.0,0.0,0.0
955,1.0,3.0,3.0,1.0,0.0,1.0
1621,0.0,0.0,0.0,0.0,0.0,1.0
713,2.0,1.0,2.0,1.0,0.0,2.0
1678,0.0,0.0,2.0,0.0,1.0,1.0
1100,1.0,1.0,0.0,2.0,0.0,2.0
1241,1.0,0.0,1.0,2.0,2.0,2.0
6,3.0,3.0,0.0,0.0,2.0,0.0
402,3.0,0.0,2.0,2.0,2.0,0.0
1587,0.0,1.0,2.0,2.0,1.0,0.0
979,1.0,2.0,0.0,0.0,2.0,1.0
47,3.0,3.0,1.0,2.0,0.0,2.0
1272,1.0,0.0,3.0,0.0,1.0,0.0
106,3.0,3.0,3.0,2.0,2.0,1.0
1560,0.0,1.0,1.0,2.0,1.0,0.0
662,2.0,1.0,0.0,1.0,1.0,2.0
386,3.0,0.0,2.0,0.0,2.0,2.0
97,3.0,3.0,3.0,1.0,2.0,1.0
350,3.0,0.0,0.0,2.0,2.0,2.0
1293,1.0,0.0,3.0,2.0,2.0,0.0
508,2.0,3.0,2.0,2.0,1.0,1.0
62,3.0,3.0,2.0,0.0,2.0,2.0
1447,0.0,2.0,1.0,1.0,2.0,1.0
1330,0.0,3.0,1.0,0.0,2.0,1.0
125,3.0,2.0,0.0,1.0,2.0,2.0
778,2.0,0.0,0.0,2.0,1.0,1.0
1058,1.0,2.0,3.0,0.0,1.0,2.0
827,2.0,0.0,2.0,1.0,2.0,2.0
392,3.0,0.0,2.0,1.0,1.0,2.0
1114,1.0,1.0,1.0,0.0,2.0,1.0
1078,1.0,2.0,3.0,2.0,2.0,1.0
180,3.0,2.0,2.0,2.0,0.0,0.0
1598,0.0,1.0,3.0,0.0,1.0,2.0
23,3.0,3.0,0.0,2.0,1.0,2.0
493,2.0,3.0,2.0,0.0,2.0,1.0
1367,0.0,3.0,2.0,1.0,2.0,2.0
886,1.0,3.0,0.0,2.0,1.0,1.0
610,2.0,2.0,2.0,1.0,2.0,1.0
1064,1.0,2.0,3.0,1.0,0.0,2.0
608,2.0,2.0,2.0,1.0,1.0,2.0
954,1.0,3.0,3.0,1.0,0.0,0.0
1328,0.0,3.0,1.0,0.0,1.0,2.0
719,2.0,1.0,2.0,1.0,2.0,2.0
1556,0.0,1.0,1.0,1.0,2.0,2.0
652,2.0,1.0,0.0,0.0,1.0,1.0
647,2.0,2.0,3.0,2.0,2.0,2.0
210,3.0,2.0,3.0,2.0,1.0,0.0
507,2.0,3.0,2.0,2.0,1.0,0.0
570,2.0,2.0,1.0,0.0,1.0,0.0
277,3.0,1.0,2.0,0.0,2.0,1.0
649,2.0,1.0,0.0,0.0,0.0,1.0
821,2.0,0.0,2.0,1.0,0.0,2.0
259,3.0,1.0,1.0,1.0,2.0,1.0
1339,0.0,3.0,1.0,1.0,2.0,1.0
1209,1.0,0.0,0.0,2.0,1.0,0.0
1296,0.0,3.0,0.0,0.0,0.0,0.0
1124,1.0,1.0,1.0,1.0,2.0,2.0
1675,0.0,0.0,2.0,0.0,0.0,1.0
136,3.0,2.0,1.0,0.0,0.0,1.0
538,2.0,3.0,3.0,2.0,2.0,1.0
569,2.0,2.0,1.0,0.0,0.0,2.0
1603,0.0,1.0,3.0,1.0,0.0,1.0
678,2.0,1.0,1.0,0.0,1.0,0.0
1565,0.0,1.0,1.0,2.0,2.0,2.0
1713,0.0,0.0,3.0,1.0,1.0,0.0
706,2.0,1.0,2.0,0.0,1.0,1.0
1486,0.0,2.0,3.0,0.0,0.0,1.0
1441,0.0,2.0,1.0,1.0,0.0,1.0
1600,0.0,1.0,3.0,0.0,2.0,1.0
290,3.0,1.0,2.0,2.0,0.0,2.0
1387,0.0,3.0,3.0,1.0,0.0,1.0
228,3.0,1.0,0.0,1.0,1.0,0.0
829,2.0,0.0,2.0,2.0,0.0,1.0
1280,1.0,0.0,3.0,1.0,0.0,2.0
957,1.0,3.0,3.0,1.0,1.0,0.0
50,3.0,3.0,1.0,2.0,1.0,2.0
511,2.0,3.0,2.0,2.0,2.0,1.0
1638,0.0,0.0,0.0,2.0,0.0,0.0
76,3.0,3.0,2.0,2.0,1.0,1.0
369,3.0,0.0,1.0,2.0,0.0,0.0
1066,1.0,2.0,3.0,1.0,1.0,1.0
737,2.0,1.0,3.0,0.0,2.0,2.0
633,2.0,2.0,3.0,1.0,1.0,0.0
1399,0.0,3.0,3.0,2.0,1.0,1.0
358,3.0,0.0,1.0,0.0,2.0,1.0
672,2.0,1.0,0.0,2.0,2.0,0.0
59,3.0,3.0,2.0,0.0,1.0,2.0
1260,1.0,0.0,2.0,2.0,0.0,0.0
1586,0.0,1.0,2.0,2.0,0.0,2.0
718,2.0,1.0,2.0,1.0,2.0,1.0
378,3.0,0.0,2.0,0.0,0.0,0.0
512,2.0,3.0,2.0,2.0,2.0,2.0
104,3.0,3.0,3.0,2.0,1.0,2.0
931,1.0,3.0,2.0,1.0,1.0,1.0
345,3.0,0.0,0.0,2.0,1.0,0.0
1416,0.0,2.0,0.0,1.0,1.0,0.0
613,2.0,2.0,2.0,2.0,0.0,1.0
1271,1.0,0.0,3.0,0.0,0.0,2.0
1119,1.0,1.0,1.0,1.0,1.0,0.0
1418,0.0,2.0,0.0,1.0,1.0,2.0
776,2.0,0.0,0.0,2.0,0.0,2.0
1527,0.0,1.0,0.0,1.0,2.0,0.0
134,3.0,2.0,0.0,2.0,2.0,2.0
1009,1.0,2.0,1.0,1.0,0.0,1.0
985,1.0,2.0,0.0,1.0,1.0,1.0
1313,0.0,3.0,0.0,1.0,2.0,2.0
816,2.0,0.0,2.0,0.0,2.0,0.0
876,1.0,3.0,0.0,1.0,1.0,0.0
1514,0.0,1.0,0.0,0.0,0.0,2.0
18,3.0,3.0,0.0,2.0,0.0,0.0
1453,0.0,2.0,1.0,2.0,1.0,1.0
705,2.0,1.0,2.0,0.0,1.0,0.0
528,2.0,3.0,3.0,1.0,2.0,0.0
87,3.0,3.0,3.0,0.0,2.0,0.0
272,3.0,1.0,2.0,0.0,0.0,2.0
1179,1.0,1.0,3.0,2.0,0.0,0.0
552,2.0,2.0,0.0,1.0,1.0,0.0
391,3.0,0.0,2.0,1.0,1.0,1.0
1533,0.0,1.0,0.0,2.0,1.0,0.0
1031,1.0,2.0,2.0,0.0,1.0,2.0
862,2.0,0.0,3.0,2.0,2.0,1.0
497,2.0,3.0,2.0,1.0,0.0,2.0
1285,1.0,0.0,3.0,1.0,2.0,1.0
1276,1.0,0.0,3.0,0.0,2.0,1.0
572,2.0,2.0,1.0,0.0,1.0,2.0
233,3.0,1.0,0.0,1.0,2.0,2.0
3,3.0,3.0,0.0,0.0,1.0,0.0
1608,0.0,1.0,3.0,1.0,2.0,0.0
383,3.0,0.0,2.0,0.0,1.0,2.0
1455,0.0,2.0,1.0,2.0,2.0,0.0
1303,0.0,3.0,0.0,0.0,2.0,1.0
872,1.0,3.0,0.0,0.0,2.0,2.0
665,2.0,1.0,0.0,1.0,2.0,2.0
1558,0.0,1.0,1.0,2.0,0.0,1.0
132,3.0,2.0,0.0,2.0,2.0,0.0
636,2.0,2.0,3.0,1.0,2.0,0.0
1722,0.0,0.0,3.0,2.0,1.0,0.0
1300,0.0,3.0,0.0,0.0,1.0,1.0
1421,0.0,2.0,0.0,1.0,2.0,2.0
1681,0.0,0.0,2.0,0.0,2.0,1.0
1044,1.0,2.0,2.0,2.0,0.0,0.0
137,3.0,2.0,1.0,0.0,0.0,2.0
857,2.0,0.0,3.0,2.0,0.0,2.0
425,3.0,0.0,3.0,2.0,0.0,2.0
949,1.0,3.0,3.0,0.0,1.0,1.0
187,3.0,2.0,2.0,2.0,2.0,1.0
284,3.0,1.0,2.0,1.0,1.0,2.0
1030,1.0,2.0,2.0,0.0,1.0,1.0
340,3.0,0.0,0.0,1.0,2.0,1.0
667,2.0,1.0,0.0,2.0,0.0,1.0
648,2.0,1.0,0.0,0.0,0.0,0.0
1342,0.0,3.0,1.0,2.0,0.0,1.0
1003,1.0,2.0,1.0,0.0,1.0,1.0
537,2.0,3.0,3.0,2.0,2.0,0.0
450,2.0,3.0,0.0,2.0,0.0,0.0
178,3.0,2.0,2.0,1.0,2.0,1.0
331,3.0,0.0,0.0,0.0,2.0,1.0
426,3.0,0.0,3.0,2.0,1.0,0.0
853,2.0,0.0,3.0,1.0,2.0,1.0
1257,1.0,0.0,2.0,1.0,2.0,0.0
1365,0.0,3.0,2.0,1.0,2.0,0.0
617,2.0,2.0,2.0,2.0,1.0,2.0
280,3.0,1.0,2.0,1.0,0.0,1.0
432,2.0,3.0,0.0,0.0,0.0,0.0
959,1.0,3.0,3.0,1.0,1.0,2.0
1220,1.0,0.0,1.0,0.0,1.0,2.0
1347,0.0,3.0,1.0,2.0,2.0,0.0
1627,0.0,0.0,0.0,0.0,2.0,1.0
1575,0.0,1.0,2.0,1.0,0.0,0.0
14,3.0,3.0,0.0,1.0,1.0,2.0
99,3.0,3.0,3.0,2.0,0.0,0.0
67,3.0,3.0,2.0,1.0,1.0,1.0
105,3.0,3.0,3.0,2.0,2.0,0.0
558,2.0,2.0,0.0,2.0,0.0,0.0
327,3.0,0.0,0.0,0.0,1.0,0.0
971,1.0,3.0,3.0,2.0,2.0,2.0
487,2.0,3.0,2.0,0.0,0.0,1.0
1551,0.0,1.0,1.0,1.0,1.0,0.0
1163,1.0,1.0,3.0,0.0,0.0,2.0
1434,0.0,2.0,1.0,0.0,1.0,0.0
1360,0.0,3.0,2.0,1.0,0.0,1.0
1570,0.0,1.0,2.0,0.0,1.0,1.0
676,2.0,1.0,1.0,0.0,0.0,1.0
991,1.0,2.0,0.0,2.0,0.0,1.0
334,3.0,0.0,0.0,1.0,0.0,1.0
972,1.0,2.0,0.0,0.0,0.0,0.0
958,1.0,3.0,3.0,1.0,1.0,1.0
115,3.0,2.0,0.0,0.0,2.0,1.0
454,2.0,3.0,0.0,2.0,1.0,1.0
1093,1.0,1.0,0.0,1.0,1.0,1.0
565,2.0,2.0,0.0,2.0,2.0,1.0
147,3.0,2.0,1.0,1.0,1.0,0.0
764,2.0,0.0,0.0,0.0,2.0,2.0
