,evaluation
59,unacc
1260,unacc
1586,good
718,acc
378,unacc
512,unacc
104,unacc
931,acc
345,unacc
1416,unacc
613,unacc
1271,unacc
1119,unacc
1418,acc
776,unacc
1527,unacc
134,unacc
1009,unacc
985,unacc
1313,acc
816,unacc
876,unacc
1514,unacc
18,unacc
1453,acc
705,unacc
528,unacc
87,unacc
272,unacc
1179,unacc
552,unacc
391,acc
1533,unacc
1031,unacc
862,acc
497,unacc
1285,good
1276,unacc
572,unacc
233,acc
3,unacc
1608,unacc
383,unacc
1455,unacc
1303,unacc
872,unacc
665,acc
1558,acc
132,unacc
636,unacc
1722,unacc
1300,unacc
1421,vgood
1681,unacc
1044,unacc
137,unacc
857,acc
425,acc
949,unacc
187,unacc
284,acc
1030,unacc
340,acc
667,unacc
648,unacc
1342,unacc
1003,unacc
537,unacc
450,unacc
178,unacc
331,unacc
426,unacc
853,acc
1257,unacc
1365,unacc
617,acc
280,unacc
432,unacc
959,acc
1220,unacc
1347,unacc
1627,unacc
1575,unacc
14,unacc
99,unacc
67,unacc
105,unacc
558,unacc
327,unacc
971,acc
487,unacc
1551,unacc
1163,unacc
1434,unacc
1360,unacc
1570,unacc
676,unacc
991,unacc
334,unacc
972,unacc
958,acc
115,unacc
454,unacc
1093,acc
565,acc
147,unacc
764,unacc
841,unacc
1660,acc
791,unacc
1289,good
9,unacc
434,unacc
1036,unacc
566,acc
410,unacc
684,unacc
741,unacc
710,unacc
1134,unacc
752,acc
963,unacc
1089,unacc
909,unacc
399,unacc
1650,unacc
659,acc
1168,unacc
1690,good
1671,unacc
910,unacc
1436,unacc
352,unacc
813,unacc
398,acc
1596,unacc
532,unacc
1664,vgood
1536,unacc
1068,unacc
17,unacc
1394,acc
1047,unacc
1211,good
1242,unacc
1547,unacc
914,acc
1145,acc
186,unacc
1236,unacc
1479,unacc
928,unacc
94,unacc
1251,unacc
1405,unacc
287,acc
317,acc
863,acc
1148,vgood
723,unacc
1307,acc
967,acc
335,acc
845,unacc
1261,acc
1027,unacc
1053,unacc
1617,unacc
906,unacc
683,unacc
1153,acc
642,unacc
691,acc
1249,unacc
301,unacc
784,unacc
1612,acc
542,unacc
1583,vgood
1227,unacc
1196,unacc
42,unacc
901,unacc
1233,unacc
491,unacc
1178,vgood
338,acc
127,unacc
458,unacc
483,unacc
256,unacc
1299,unacc
35,unacc
823,acc
498,unacc
1451,acc
594,unacc
1212,unacc
927,unacc
174,unacc
1187,vgood
360,unacc
1493,unacc
1159,acc
1314,unacc
1395,unacc
1007,unacc
1374,unacc
1456,acc
1632,unacc
430,acc
1669,good
1511,vgood
763,unacc
416,acc
242,acc
871,unacc
494,unacc
560,unacc
1237,good
1323,unacc
451,unacc
1376,acc
836,acc
1147,acc
890,acc
733,unacc
1162,unacc
1501,acc
1442,acc
214,unacc
1400,acc
1361,acc
269,acc
815,unacc
620,acc
1291,good
1344,unacc
1513,unacc
240,unacc
1579,good
754,acc
1546,unacc
320,acc
1457,vgood
885,unacc
586,unacc
1390,acc
1589,vgood
1566,unacc
1060,unacc
1223,unacc
1026,unacc
423,unacc
1099,unacc
1656,unacc
315,unacc
1377,unacc
57,unacc
1123,acc
553,unacc
555,unacc
689,acc
8,unacc
1288,acc
183,unacc
467,unacc
1693,acc
769,unacc
983,acc
1674,unacc
348,unacc
1141,unacc
25,unacc
1022,acc
1619,vgood
587,acc
1543,unacc
924,unacc
536,unacc
1414,acc
701,acc
1481,vgood
123,unacc
604,unacc
1151,vgood
1379,unacc
1270,unacc
1616,vgood
1176,unacc
189,unacc
1641,unacc
200,unacc
357,unacc
191,unacc
1505,acc
225,unacc
484,unacc
405,unacc
673,acc
361,unacc
107,unacc
1502,vgood
866,unacc
945,unacc
239,acc
248,unacc
988,acc
948,unacc
196,unacc
1262,good
930,unacc
1572,unacc
1686,unacc
70,unacc
977,unacc
1340,acc
1110,unacc
1458,unacc
480,unacc
1476,unacc
1667,good
937,unacc
850,acc
767,acc
296,acc
1437,unacc
978,unacc
1647,unacc
109,unacc
1049,acc
596,unacc
171,unacc
1710,unacc
1386,unacc
1085,unacc
1609,good
351,unacc
1649,unacc
1154,acc
1699,good
321,unacc
1252,acc
365,acc
1083,unacc
43,unacc
1353,unacc
336,unacc
1695,unacc
1364,acc
994,unacc
628,unacc
1357,unacc
1045,unacc
1488,unacc
750,unacc
374,acc
669,unacc
427,acc
1343,acc
1403,acc
420,unacc
970,acc
111,unacc
1325,unacc
353,unacc
1173,unacc
1454,vgood
801,unacc
809,acc
637,acc
1171,acc
1259,vgood
403,acc
1428,unacc
1112,unacc
1216,unacc
819,unacc
438,unacc
677,unacc
680,unacc
1490,unacc
584,acc
1107,unacc
530,unacc
1544,unacc
1541,unacc
474,unacc
1366,acc
422,acc
324,unacc
167,unacc
619,acc
585,unacc
1494,unacc
65,unacc
1385,unacc
1208,unacc
1563,unacc
364,unacc
124,unacc
658,unacc
1185,unacc
396,unacc
1355,unacc
197,unacc
1265,vgood
797,acc
1545,unacc
245,unacc
805,acc
82,unacc
1329,unacc
1198,acc
1321,acc
828,unacc
1577,good
1082,unacc
1666,acc
861,unacc
947,unacc
1599,unacc
621,unacc
1620,unacc
154,unacc
69,unacc
19,unacc
492,unacc
1186,acc
1283,vgood
1350,unacc
742,acc
1723,good
305,unacc
473,unacc
728,acc
1144,acc
1584,unacc
1070,acc
1393,acc
237,unacc
1634,good
982,unacc
1406,unacc
1378,unacc
68,unacc
534,unacc
229,unacc
1449,unacc
973,unacc
112,unacc
1132,acc
86,unacc
1161,unacc
744,unacc
44,unacc
222,unacc
205,unacc
839,unacc
1408,unacc
599,unacc
1195,unacc
155,unacc
293,acc
1034,unacc
1429,acc
1281,unacc
657,unacc
714,unacc
527,unacc
1071,unacc
1389,unacc
1645,good
1136,unacc
249,unacc
1413,unacc
150,unacc
1306,unacc
1370,acc
1113,unacc
168,unacc
1203,unacc
1439,unacc
156,unacc
1263,unacc
1118,acc
1222,unacc
1348,acc
593,acc
1471,acc
810,unacc
895,unacc
1286,vgood
1200,unacc
346,unacc
735,unacc
995,acc
581,acc
822,unacc
355,unacc
1373,acc
1720,acc
533,unacc
832,acc
1103,acc
482,unacc
503,unacc
875,acc
1658,good
367,acc
1304,unacc
1422,unacc
1072,unacc
950,unacc
703,unacc
1622,unacc
661,unacc
1607,vgood
119,unacc
685,unacc
11,unacc
1581,unacc
724,acc
1228,acc
1460,unacc
34,unacc
1029,unacc
445,unacc
118,unacc
1727,vgood
1075,acc
592,acc
567,unacc
962,acc
692,acc
540,unacc
989,acc
212,unacc
1685,good
1423,unacc
849,unacc
1297,unacc
1206,unacc
1264,good
1629,unacc
286,acc
448,unacc
209,unacc
1210,acc
366,unacc
465,unacc
505,unacc
471,unacc
1535,good
1595,unacc
2,unacc
1549,acc
583,acc
824,acc
90,unacc
424,unacc
84,unacc
190,unacc
442,unacc
1430,vgood
1073,acc
1205,vgood
897,unacc
1232,vgood
516,unacc
31,unacc
1258,good
323,acc
611,acc
1084,unacc
220,unacc
27,unacc
457,unacc
1529,vgood
851,acc
1585,acc
139,unacc
251,unacc
1498,acc
208,unacc
743,acc
435,unacc
1567,unacc
1604,good
1055,unacc
1682,unacc
1125,unacc
1472,vgood
1725,unacc
288,unacc
476,unacc
1398,unacc
951,unacc
291,unacc
1165,unacc
711,unacc
499,unacc
1672,good
16,unacc
1721,good
192,unacc
1326,unacc
1497,unacc
436,unacc
1701,unacc
699,unacc
626,unacc
5,unacc
80,unacc
984,unacc
394,acc
1351,unacc
738,unacc
777,unacc
880,acc
1358,unacc
833,acc
372,unacc
526,unacc
1452,unacc
460,unacc
326,unacc
356,unacc
1670,vgood
390,unacc
522,unacc
1317,unacc
349,acc
419,acc
339,unacc
1467,unacc
1562,vgood
1569,unacc
1709,unacc
787,unacc
934,acc
1473,unacc
1588,good
1605,unacc
1010,acc
688,unacc
275,unacc
1628,unacc
1578,unacc
310,acc
1040,acc
952,unacc
513,unacc
1718,vgood
201,unacc
1180,acc
820,unacc
786,unacc
1464,unacc
1504,acc
1397,acc
638,acc
1597,unacc
485,unacc
254,acc
1101,unacc
89,unacc
598,unacc
720,unacc
1381,unacc
925,unacc
1167,unacc
363,unacc
1074,unacc
942,unacc
944,acc
690,unacc
1002,unacc
1420,acc
1528,good
295,acc
1273,unacc
515,unacc
143,unacc
1301,unacc
