,cylinders,displacement,horsepower,weight,acceleration,model_year,origin_USA,origin_EU,origin_JP
362,6,146.0,120.0,2930,13.8,81,0,0,1
251,8,302.0,139.0,3570,12.8,78,1,0,0
388,4,156.0,92.0,2585,14.5,82,1,0,0
363,6,231.0,110.0,3415,15.8,81,1,0,0
303,4,85.0,65.0,2020,19.2,79,0,0,1
269,4,105.0,75.0,2230,14.5,78,1,0,0
201,6,250.0,110.0,3645,16.2,76,1,0,0
161,6,250.0,105.0,3897,18.5,75,1,0,0
43,8,400.0,170.0,4746,12.0,71,1,0,0
217,4,111.0,80.0,2155,14.8,77,1,0,0
190,8,351.0,152.0,4215,12.8,76,1,0,0
309,4,98.0,76.0,2144,14.7,80,0,1,0
259,6,200.0,85.0,3070,16.7,78,1,0,0
105,8,360.0,170.0,4654,13.0,73,1,0,0
53,4,71.0,65.0,1773,19.0,71,0,0,1
1,8,350.0,165.0,3693,11.5,70,1,0,0
49,4,122.0,86.0,2220,14.0,71,1,0,0
80,4,122.0,86.0,2395,16.0,72,1,0,0
205,4,97.0,75.0,2155,16.4,76,0,0,1
34,6,225.0,105.0,3439,15.5,71,1,0,0
263,6,231.0,165.0,3445,13.4,78,1,0,0
91,8,400.0,150.0,4464,12.0,73,1,0,0
339,4,151.0,84.0,2635,16.4,81,1,0,0
52,4,88.0,76.0,2065,14.5,71,0,1,0
264,8,302.0,139.0,3205,11.2,78,1,0,0
241,6,146.0,97.0,2815,14.5,77,0,0,1
13,8,455.0,225.0,3086,10.0,70,1,0,0
315,4,151.0,90.0,3003,20.1,80,1,0,0
88,8,302.0,137.0,4042,14.5,73,1,0,0
273,4,119.0,97.0,2405,14.9,78,0,0,1
166,8,302.0,129.0,3169,12.0,75,1,0,0
328,4,146.0,67.0,3250,21.8,80,0,1,0
391,4,135.0,84.0,2370,13.0,82,1,0,0
134,6,258.0,110.0,3632,18.0,74,1,0,0
306,6,173.0,115.0,2595,11.3,79,1,0,0
381,4,107.0,75.0,2205,14.5,82,0,0,1
319,4,120.0,75.0,2542,17.5,80,0,0,1
243,3,80.0,110.0,2720,13.5,77,0,0,1
54,4,72.0,69.0,1613,18.0,71,0,0,1
50,4,116.0,90.0,2123,14.0,71,0,1,0
174,6,171.0,97.0,2984,14.5,75,1,0,0
189,8,304.0,120.0,3962,13.9,76,1,0,0
395,4,135.0,84.0,2295,11.6,82,1,0,0
187,8,305.0,140.0,4215,13.0,76,1,0,0
169,6,232.0,100.0,2914,16.0,75,1,0,0
58,4,97.5,80.0,2126,17.0,72,1,0,0
48,6,250.0,88.0,3139,14.5,71,1,0,0
344,4,86.0,64.0,1875,16.4,81,1,0,0
235,4,97.0,75.0,2265,18.2,77,0,0,1
252,6,231.0,105.0,3535,19.2,78,1,0,0
21,4,107.0,90.0,2430,14.5,70,0,1,0
313,4,151.0,90.0,2678,16.5,80,1,0,0
160,6,231.0,110.0,3907,21.0,75,1,0,0
276,4,121.0,115.0,2795,15.7,78,0,1,0
191,6,225.0,100.0,3233,15.4,76,1,0,0
293,4,89.0,71.0,1925,14.0,79,0,1,0
343,4,79.0,58.0,1755,16.9,81,0,0,1
257,6,232.0,90.0,3210,17.2,78,1,0,0
308,4,151.0,90.0,2556,13.2,79,1,0,0
149,4,120.0,97.0,2489,15.0,74,0,0,1
130,4,122.0,80.0,2451,16.5,74,1,0,0
151,4,79.0,67.0,2000,16.0,74,0,1,0
359,4,141.0,80.0,3230,20.4,81,0,1,0
99,6,232.0,100.0,2945,16.0,73,1,0,0
372,4,151.0,90.0,2735,18.0,82,1,0,0
87,8,350.0,145.0,3988,13.0,73,1,0,0
330,4,85.0,104.46938775510205,1835,17.3,80,0,1,0
214,8,302.0,130.0,3870,15.0,76,1,0,0
121,8,318.0,150.0,3399,11.0,73,1,0,0
397,4,119.0,82.0,2720,19.4,82,1,0,0
20,4,110.0,87.0,2672,17.5,70,0,1,0
188,8,318.0,150.0,4190,13.0,76,1,0,0
71,3,70.0,97.0,2330,13.5,72,0,0,1
106,8,350.0,180.0,4499,12.5,73,1,0,0
270,4,134.0,95.0,2515,14.8,78,0,0,1
348,4,89.0,62.0,2050,17.3,81,0,0,1
102,4,97.0,46.0,1950,21.0,73,0,1,0
