,income
4314,<=50K
12781,<=50K
19369,>50K
1564,<=50K
27825,<=50K
15259,<=50K
19186,<=50K
5112,<=50K
14794,<=50K
6731,<=50K
18745,<=50K
27768,<=50K
17807,<=50K
28828,<=50K
1732,<=50K
23619,<=50K
26221,<=50K
25241,<=50K
6037,<=50K
15767,<=50K
7423,<=50K
24203,<=50K
4337,>50K
11570,<=50K
9780,<=50K
30517,<=50K
21183,>50K
19322,<=50K
19507,<=50K
15820,<=50K
29301,<=50K
8005,<=50K
10072,<=50K
14238,<=50K
23122,>50K
24410,<=50K
22947,<=50K
8242,<=50K
3794,>50K
1966,<=50K
28128,<=50K
21964,<=50K
839,<=50K
14577,<=50K
6472,<=50K
469,<=50K
13017,<=50K
18343,<=50K
12328,<=50K
27178,<=50K
12221,<=50K
23528,<=50K
25949,<=50K
20272,<=50K
17479,>50K
15492,<=50K
13098,<=50K
3777,<=50K
5048,<=50K
11163,<=50K
6490,<=50K
22814,<=50K
25997,<=50K
30586,>50K
30479,>50K
9157,<=50K
12562,<=50K
4102,>50K
24516,<=50K
30474,<=50K
14882,>50K
26687,<=50K
28999,<=50K
8615,<=50K
30655,<=50K
18174,<=50K
23675,>50K
1960,>50K
28620,>50K
20783,<=50K
346,<=50K
29764,>50K
5612,<=50K
11681,<=50K
19634,<=50K
26873,<=50K
27060,<=50K
19824,<=50K
22225,>50K
29470,>50K
2430,<=50K
9097,<=50K
4554,>50K
14002,<=50K
29195,<=50K
3903,<=50K
4468,<=50K
27542,<=50K
27234,>50K
19172,<=50K
27180,<=50K
5203,<=50K
16357,<=50K
2204,<=50K
19160,<=50K
7810,<=50K
8433,<=50K
30160,>50K
12051,<=50K
4442,>50K
21701,<=50K
22413,<=50K
25635,>50K
579,<=50K
9004,<=50K
143,<=50K
7815,<=50K
21801,<=50K
9649,<=50K
13357,<=50K
29199,<=50K
2816,<=50K
29586,<=50K
28727,<=50K
13711,>50K
1340,<=50K
16587,<=50K
2365,>50K
16236,<=50K
11187,<=50K
15937,<=50K
19059,<=50K
12813,>50K
5177,>50K
9713,>50K
1693,<=50K
23027,<=50K
10298,<=50K
28212,>50K
19055,<=50K
28971,<=50K
29916,<=50K
15954,<=50K
8244,>50K
16107,<=50K
22054,<=50K
16460,<=50K
20306,<=50K
3130,<=50K
29122,>50K
16900,>50K
17668,<=50K
6830,>50K
13977,<=50K
30439,<=50K
19410,>50K
15737,<=50K
16922,<=50K
1685,<=50K
27284,<=50K
15387,<=50K
4419,<=50K
19167,<=50K
23588,<=50K
8414,<=50K
19004,>50K
12275,<=50K
29280,<=50K
29699,>50K
24470,<=50K
6863,<=50K
8989,<=50K
22044,<=50K
6282,<=50K
27382,<=50K
21934,<=50K
3270,<=50K
15938,<=50K
15032,<=50K
29558,>50K
777,>50K
16156,<=50K
449,<=50K
2824,>50K
19967,<=50K
28145,<=50K
15776,<=50K
25201,>50K
8506,<=50K
8486,>50K
14017,>50K
23249,<=50K
4334,<=50K
30280,<=50K
23124,<=50K
3349,<=50K
74,<=50K
15401,<=50K
10195,<=50K
12882,<=50K
11625,>50K
4281,<=50K
13916,>50K
21891,<=50K
10975,<=50K
27307,<=50K
5878,<=50K
21328,<=50K
6304,>50K
57,<=50K
12769,<=50K
15789,<=50K
21669,<=50K
18489,<=50K
16673,<=50K
3900,>50K
20973,<=50K
11302,>50K
21236,>50K
1393,<=50K
27660,>50K
673,<=50K
2136,<=50K
1300,<=50K
8424,>50K
18161,<=50K
30222,<=50K
4080,<=50K
5329,<=50K
24306,<=50K
9976,<=50K
17166,>50K
13279,<=50K
13392,>50K
21045,<=50K
22254,<=50K
18112,<=50K
27027,<=50K
2842,<=50K
17434,>50K
10896,>50K
10880,<=50K
5855,>50K
24771,>50K
2587,<=50K
21811,<=50K
4274,<=50K
10351,>50K
3810,<=50K
11899,<=50K
24735,>50K
18083,<=50K
7121,>50K
27016,<=50K
20414,<=50K
18987,<=50K
26523,<=50K
25464,>50K
7237,>50K
24464,<=50K
6057,>50K
17752,>50K
28454,<=50K
16064,>50K
27707,<=50K
17838,<=50K
13299,<=50K
3052,>50K
29594,<=50K
21966,>50K
24238,>50K
1626,<=50K
5830,<=50K
30312,<=50K
1971,<=50K
15578,<=50K
20664,<=50K
23683,<=50K
30277,>50K
30377,<=50K
789,>50K
10421,>50K
11181,<=50K
23410,<=50K
19062,<=50K
9039,<=50K
16516,>50K
26732,<=50K
4395,<=50K
19711,<=50K
17471,>50K
22063,>50K
14453,>50K
9618,>50K
22087,<=50K
5943,<=50K
25334,>50K
11939,<=50K
2643,<=50K
24369,<=50K
6968,<=50K
19598,<=50K
22549,<=50K
28247,<=50K
13832,>50K
11101,<=50K
5393,<=50K
26260,>50K
23379,<=50K
11949,>50K
30307,>50K
25812,<=50K
9842,>50K
14862,<=50K
20965,<=50K
2598,<=50K
8993,>50K
23014,<=50K
22893,<=50K
1462,<=50K
12772,>50K
4996,<=50K
9939,<=50K
21766,>50K
8312,>50K
18169,>50K
12232,>50K
27036,<=50K
10978,<=50K
456,<=50K
19126,<=50K
26457,<=50K
3641,<=50K
22880,<=50K
12863,>50K
2968,<=50K
23355,>50K
15422,<=50K
728,<=50K
24840,<=50K
12890,<=50K
13543,<=50K
2689,>50K
1032,>50K
19178,<=50K
10239,<=50K
28859,<=50K
27533,>50K
26345,<=50K
17906,<=50K
13972,>50K
15512,<=50K
18077,<=50K
19648,<=50K
6800,<=50K
7275,>50K
17131,<=50K
7856,<=50K
17179,<=50K
1455,<=50K
10701,<=50K
13162,<=50K
28166,<=50K
13719,<=50K
12966,<=50K
9090,>50K
8081,<=50K
27392,<=50K
15396,<=50K
12450,<=50K
20919,<=50K
13438,<=50K
7746,>50K
4559,<=50K
8726,<=50K
12470,<=50K
12411,<=50K
11874,<=50K
12972,>50K
23770,<=50K
1377,<=50K
22333,<=50K
3500,<=50K
11867,>50K
30106,>50K
27766,<=50K
6300,<=50K
28213,>50K
1634,<=50K
27452,<=50K
23774,<=50K
1154,<=50K
28321,<=50K
5916,<=50K
25466,<=50K
2697,<=50K
14176,<=50K
21637,>50K
9502,<=50K
20316,<=50K
16699,<=50K
10123,>50K
11500,<=50K
3865,<=50K
5240,<=50K
5752,<=50K
27521,<=50K
30046,>50K
2428,>50K
1265,<=50K
19340,>50K
21914,<=50K
19828,>50K
22153,>50K
21797,<=50K
4587,<=50K
13618,>50K
26112,<=50K
30158,>50K
28980,<=50K
10548,<=50K
11505,<=50K
2093,<=50K
8225,>50K
905,<=50K
6650,>50K
26972,<=50K
29364,<=50K
3661,<=50K
10442,<=50K
8201,<=50K
19926,<=50K
3268,<=50K
13952,<=50K
13240,<=50K
12540,<=50K
12592,<=50K
21309,<=50K
29275,>50K
29428,<=50K
3816,<=50K
7316,<=50K
17137,>50K
19306,<=50K
20764,<=50K
4957,<=50K
30604,>50K
20087,<=50K
13513,<=50K
13953,>50K
829,<=50K
6915,<=50K
11191,<=50K
9832,<=50K
6554,<=50K
2134,<=50K
21524,<=50K
1262,>50K
20909,<=50K
27336,<=50K
8461,<=50K
28401,<=50K
26888,<=50K
27750,<=50K
209,<=50K
22149,<=50K
23424,<=50K
14805,<=50K
24928,>50K
20648,<=50K
10784,<=50K
18671,>50K
15305,<=50K
20193,<=50K
16559,>50K
29357,>50K
21418,<=50K
9368,<=50K
15074,<=50K
20250,<=50K
24140,>50K
7763,<=50K
5993,<=50K
3764,<=50K
22644,<=50K
1695,<=50K
16074,<=50K
27926,<=50K
25767,<=50K
920,<=50K
1404,<=50K
23286,<=50K
26307,<=50K
446,<=50K
67,<=50K
6483,<=50K
2069,<=50K
5731,<=50K
20341,<=50K
12260,<=50K
7798,<=50K
14125,<=50K
18456,<=50K
24322,<=50K
8632,>50K
22921,<=50K
3518,<=50K
22821,>50K
10489,<=50K
7100,<=50K
17306,<=50K
13019,>50K
14465,<=50K
28748,<=50K
27242,<=50K
26852,>50K
24418,<=50K
6049,<=50K
20843,<=50K
21100,>50K
5785,>50K
22523,<=50K
7768,<=50K
18779,>50K
27804,>50K
15413,<=50K
26517,>50K
14133,<=50K
3080,<=50K
27772,>50K
10067,>50K
23914,<=50K
16532,<=50K
28933,<=50K
20920,<=50K
7519,<=50K
13280,<=50K
20577,<=50K
1243,<=50K
13961,<=50K
23593,<=50K
9860,<=50K
26866,<=50K
16588,>50K
28315,<=50K
17295,>50K
12087,<=50K
24798,>50K
21782,>50K
25411,<=50K
13411,<=50K
24817,>50K
25715,<=50K
1000,<=50K
17097,>50K
13193,<=50K
28337,<=50K
21648,>50K
7049,<=50K
25797,>50K
2344,>50K
20695,>50K
28944,<=50K
6281,<=50K
27950,<=50K
29451,>50K
10426,<=50K
11069,<=50K
2890,<=50K
3523,>50K
6010,<=50K
26425,<=50K
6216,<=50K
21581,<=50K
15541,>50K
30458,<=50K
1550,>50K
749,<=50K
24004,<=50K
5850,<=50K
22014,<=50K
11275,<=50K
18574,<=50K
25624,>50K
26710,<=50K
15607,<=50K
10041,<=50K
6989,>50K
3015,<=50K
29001,<=50K
11722,>50K
26931,<=50K
17358,>50K
10179,<=50K
12046,<=50K
5808,>50K
14796,<=50K
16816,<=50K
17389,<=50K
7338,<=50K
29060,<=50K
18300,<=50K
10515,>50K
3034,<=50K
2059,<=50K
16250,<=50K
21430,<=50K
19982,>50K
26795,>50K
26702,>50K
14736,<=50K
5276,>50K
15883,<=50K
20789,<=50K
29145,<=50K
28151,<=50K
14953,<=50K
6027,<=50K
207,<=50K
5397,<=50K
5703,<=50K
4236,<=50K
2762,<=50K
15897,<=50K
24455,>50K
10330,<=50K
26903,>50K
7025,<=50K
13228,<=50K
18197,<=50K
711,<=50K
4770,<=50K
23871,<=50K
18993,<=50K
28350,<=50K
20959,<=50K
22452,<=50K
14758,<=50K
24294,>50K
25416,>50K
6965,<=50K
8039,<=50K
8331,>50K
19371,<=50K
7823,<=50K
27837,<=50K
26631,<=50K
30238,<=50K
7759,>50K
23372,<=50K
29724,<=50K
12625,<=50K
3503,>50K
22405,<=50K
20167,<=50K
13297,<=50K
21775,<=50K
27087,<=50K
12667,<=50K
22835,>50K
4034,<=50K
11871,>50K
9835,>50K
9927,>50K
12239,<=50K
30259,>50K
8133,<=50K
27389,>50K
8536,<=50K
20563,<=50K
13871,<=50K
15859,<=50K
28306,<=50K
23577,<=50K
11055,<=50K
15943,<=50K
19251,<=50K
23058,<=50K
6980,>50K
30009,<=50K
29726,<=50K
9847,>50K
28819,<=50K
24913,<=50K
6142,<=50K
25145,<=50K
8187,<=50K
28285,<=50K
14583,<=50K
7654,<=50K
29760,<=50K
23231,>50K
24982,<=50K
10707,<=50K
8828,>50K
14410,<=50K
23435,<=50K
12779,<=50K
18458,<=50K
3269,<=50K
7795,<=50K
14563,<=50K
23430,>50K
3623,<=50K
17582,>50K
8042,>50K
16167,>50K
13416,<=50K
13060,<=50K
24243,<=50K
1042,>50K
27613,<=50K
15285,<=50K
4799,<=50K
8106,<=50K
22688,>50K
29506,<=50K
30278,<=50K
14441,<=50K
24710,<=50K
4805,<=50K
27550,<=50K
8064,>50K
1233,>50K
2782,>50K
30660,<=50K
26719,>50K
14118,<=50K
6812,<=50K
4054,>50K
8558,<=50K
3006,<=50K
4595,<=50K
10665,<=50K
17855,>50K
9155,>50K
14342,<=50K
8182,<=50K
12271,<=50K
8167,<=50K
15533,>50K
15455,<=50K
21178,<=50K
5840,<=50K
6805,<=50K
17587,>50K
12654,<=50K
22120,>50K
18953,<=50K
14708,>50K
27604,<=50K
5796,<=50K
9151,<=50K
12033,<=50K
21111,<=50K
22036,<=50K
6560,<=50K
11437,>50K
13497,<=50K
22755,<=50K
257,<=50K
23195,<=50K
6319,<=50K
9433,<=50K
361,<=50K
11933,<=50K
21119,<=50K
13225,<=50K
4049,<=50K
15686,<=50K
24539,<=50K
20842,<=50K
15149,<=50K
21155,<=50K
15542,<=50K
28714,<=50K
4242,<=50K
7167,<=50K
20486,<=50K
29945,<=50K
29481,<=50K
3741,>50K
22065,>50K
15245,<=50K
15932,<=50K
26079,<=50K
29522,<=50K
2472,<=50K
5413,<=50K
16718,<=50K
18257,<=50K
25516,<=50K
6722,>50K
263,<=50K
23466,<=50K
3353,<=50K
14949,<=50K
27762,>50K
17741,>50K
25389,<=50K
30540,<=50K
11064,>50K
1657,>50K
7627,>50K
4369,<=50K
5156,<=50K
27468,<=50K
9334,>50K
10519,<=50K
25643,>50K
22018,<=50K
25160,<=50K
2942,>50K
22355,>50K
7426,<=50K
26297,<=50K
9473,>50K
7591,<=50K
26741,<=50K
24766,<=50K
3948,<=50K
20355,<=50K
29984,<=50K
24850,>50K
23028,<=50K
11216,>50K
15414,<=50K
12742,>50K
7156,<=50K
11336,<=50K
1859,>50K
3802,<=50K
17303,>50K
28862,<=50K
16489,<=50K
29282,<=50K
16058,<=50K
5552,<=50K
10266,<=50K
11737,>50K
4769,<=50K
12037,<=50K
17786,<=50K
7938,<=50K
17557,<=50K
12177,>50K
3273,<=50K
16138,<=50K
14792,<=50K
10725,<=50K
7328,<=50K
16102,<=50K
25004,>50K
19726,>50K
29323,<=50K
4693,<=50K
27273,<=50K
3321,<=50K
6044,<=50K
1410,<=50K
16034,<=50K
10177,<=50K
14571,<=50K
4689,<=50K
11458,<=50K
26133,<=50K
3543,<=50K
18260,>50K
11575,<=50K
9856,<=50K
10930,<=50K
28137,<=50K
15067,>50K
20412,<=50K
25062,>50K
29574,>50K
23806,>50K
10132,<=50K
25319,<=50K
6276,>50K
28104,<=50K
3933,>50K
4973,<=50K
3098,<=50K
13015,>50K
2903,<=50K
12322,<=50K
20881,<=50K
13177,<=50K
9475,<=50K
12720,<=50K
24173,>50K
25520,>50K
28232,<=50K
19890,>50K
14103,<=50K
9751,<=50K
5212,<=50K
23976,<=50K
14216,<=50K
4757,<=50K
4782,<=50K
4066,<=50K
10761,>50K
3525,<=50K
6250,>50K
5477,<=50K
15287,>50K
6473,<=50K
22284,<=50K
3883,<=50K
23415,<=50K
30383,<=50K
20968,<=50K
6721,>50K
2774,>50K
29271,>50K
5498,>50K
8945,<=50K
23368,<=50K
28421,<=50K
10789,<=50K
9677,<=50K
648,<=50K
16725,<=50K
9808,<=50K
12004,<=50K
938,<=50K
10229,<=50K
18476,<=50K
5297,<=50K
6212,<=50K
29704,>50K
14506,<=50K
22055,>50K
19033,<=50K
29505,<=50K
15033,<=50K
3902,<=50K
6790,<=50K
7606,<=50K
12456,>50K
16997,>50K
23134,<=50K
3311,<=50K
22215,<=50K
14313,<=50K
10087,<=50K
2701,<=50K
878,<=50K
24643,<=50K
25402,>50K
16515,<=50K
2988,>50K
25031,>50K
20222,>50K
25822,<=50K
14392,>50K
24024,>50K
3553,>50K
18191,<=50K
19754,<=50K
22311,<=50K
30092,<=50K
18644,<=50K
780,<=50K
994,<=50K
10629,>50K
25370,<=50K
3678,>50K
9883,<=50K
7044,<=50K
29517,<=50K
4725,<=50K
17397,<=50K
1499,<=50K
24577,<=50K
6195,<=50K
10697,<=50K
17571,<=50K
29901,>50K
24054,<=50K
9600,<=50K
17770,>50K
21828,<=50K
27605,<=50K
15319,>50K
26707,<=50K
12733,<=50K
23661,>50K
5915,<=50K
12586,>50K
4530,<=50K
11421,<=50K
4063,<=50K
24149,<=50K
8230,<=50K
7588,<=50K
27961,<=50K
13563,<=50K
19405,<=50K
14718,<=50K
16612,<=50K
9551,<=50K
14538,<=50K
21169,<=50K
27210,<=50K
7432,<=50K
22816,<=50K
7484,>50K
17224,>50K
13700,<=50K
26254,<=50K
5339,>50K
12635,<=50K
4933,>50K
29647,<=50K
10222,>50K
10724,<=50K
6616,>50K
12386,<=50K
16796,<=50K
12312,<=50K
15079,<=50K
12891,<=50K
17021,<=50K
11239,<=50K
2763,<=50K
6017,<=50K
28226,<=50K
2231,<=50K
14864,<=50K
823,>50K
10145,>50K
16850,<=50K
20954,>50K
25971,<=50K
8025,<=50K
10002,>50K
13612,<=50K
6654,>50K
19128,<=50K
20187,>50K
2969,<=50K
9193,>50K
14070,<=50K
14793,<=50K
5714,>50K
4417,<=50K
22750,>50K
21260,<=50K
4686,<=50K
20556,<=50K
23253,<=50K
1048,<=50K
2026,<=50K
16157,<=50K
2540,<=50K
5625,>50K
26047,<=50K
13911,<=50K
17152,<=50K
15185,<=50K
17177,<=50K
25381,<=50K
25685,>50K
18115,<=50K
9493,<=50K
28270,<=50K
19242,<=50K
24911,<=50K
20657,<=50K
6696,<=50K
2626,<=50K
8796,<=50K
14038,>50K
29046,<=50K
23343,<=50K
14522,>50K
3246,<=50K
26916,>50K
2649,<=50K
25700,<=50K
21397,<=50K
30354,<=50K
7367,>50K
1727,<=50K
24845,<=50K
27877,<=50K
30680,<=50K
18073,<=50K
3386,<=50K
29888,>50K
12003,<=50K
3330,<=50K
5225,>50K
5825,<=50K
16757,>50K
18446,<=50K
21144,<=50K
11677,<=50K
21803,<=50K
28692,>50K
18963,<=50K
12175,<=50K
15889,<=50K
4713,>50K
28445,<=50K
26393,<=50K
26917,<=50K
11702,<=50K
10461,<=50K
24554,<=50K
13907,<=50K
30058,<=50K
3845,<=50K
19312,<=50K
9244,>50K
748,>50K
14682,>50K
5764,<=50K
19998,<=50K
934,<=50K
11885,<=50K
21388,<=50K
11144,<=50K
24187,>50K
17795,>50K
1385,<=50K
5130,>50K
28268,<=50K
26905,<=50K
24663,<=50K
12252,<=50K
17731,<=50K
12164,>50K
18575,<=50K
6084,>50K
23713,<=50K
3554,<=50K
5522,<=50K
30704,<=50K
26698,<=50K
2060,>50K
28211,<=50K
6940,>50K
23873,<=50K
943,<=50K
15547,<=50K
5755,>50K
19675,<=50K
29818,<=50K
5056,<=50K
12144,<=50K
1315,>50K
30547,<=50K
18785,<=50K
1981,<=50K
19328,<=50K
22173,<=50K
22241,>50K
21247,>50K
19538,>50K
2375,<=50K
5047,<=50K
148,<=50K
21188,>50K
15040,<=50K
18948,<=50K
29765,<=50K
22983,<=50K
3552,<=50K
27340,<=50K
14618,<=50K
29347,>50K
28344,<=50K
735,<=50K
14152,<=50K
608,<=50K
19710,>50K
430,<=50K
25121,<=50K
29454,<=50K
26992,<=50K
3576,<=50K
13877,<=50K
6539,>50K
12374,<=50K
19290,>50K
8645,<=50K
8732,<=50K
11172,<=50K
1323,>50K
27680,<=50K
23931,<=50K
21257,<=50K
30484,<=50K
10286,<=50K
23159,>50K
14622,>50K
11044,<=50K
22894,<=50K
6128,>50K
22532,<=50K
15018,<=50K
27277,<=50K
8487,>50K
19049,<=50K
26092,>50K
18451,>50K
25247,<=50K
1361,<=50K
28788,>50K
13276,>50K
12241,<=50K
13653,>50K
3051,<=50K
21044,<=50K
2165,>50K
8686,>50K
15111,>50K
6094,>50K
738,<=50K
20047,>50K
8248,<=50K
18901,<=50K
26042,>50K
5535,<=50K
4373,<=50K
26496,<=50K
10050,<=50K
3506,<=50K
14306,<=50K
14200,<=50K
25257,<=50K
28055,>50K
1325,<=50K
16932,<=50K
27195,<=50K
20561,>50K
12666,<=50K
3526,<=50K
11639,<=50K
5085,<=50K
5389,<=50K
18473,<=50K
3037,<=50K
1651,<=50K
9509,>50K
4903,<=50K
5700,<=50K
14491,<=50K
22877,<=50K
20510,<=50K
17748,<=50K
16208,<=50K
14650,<=50K
14806,<=50K
17376,<=50K
13582,>50K
19412,<=50K
7471,<=50K
30115,<=50K
9492,<=50K
3808,>50K
23715,>50K
2566,>50K
27416,>50K
9320,<=50K
26068,<=50K
2973,>50K
3175,<=50K
3451,<=50K
5610,<=50K
26545,>50K
22682,<=50K
8132,<=50K
9354,>50K
29212,>50K
19717,<=50K
1135,<=50K
1445,<=50K
15176,<=50K
19931,<=50K
3450,<=50K
15845,<=50K
28190,<=50K
991,>50K
106,>50K
10507,<=50K
16504,<=50K
19090,<=50K
2641,<=50K
22067,>50K
25849,<=50K
3193,>50K
23177,>50K
26854,>50K
3707,>50K
7889,<=50K
3150,<=50K
9352,<=50K
7531,<=50K
6837,>50K
3604,>50K
4451,>50K
22679,<=50K
7122,<=50K
23780,<=50K
18385,<=50K
23861,<=50K
28895,<=50K
19433,>50K
4053,<=50K
19781,<=50K
1668,<=50K
2329,<=50K
20487,>50K
30346,<=50K
24520,<=50K
7745,<=50K
30597,<=50K
894,<=50K
17228,>50K
4229,<=50K
12026,<=50K
1373,<=50K
17046,<=50K
23277,<=50K
2188,<=50K
15746,<=50K
8284,<=50K
30316,>50K
2214,<=50K
23070,>50K
9081,<=50K
25651,<=50K
150,<=50K
17280,<=50K
29153,<=50K
29632,<=50K
7029,>50K
5202,>50K
16015,<=50K
14359,<=50K
7460,<=50K
15343,<=50K
8474,<=50K
5214,<=50K
3233,>50K
13074,<=50K
11665,<=50K
22917,>50K
13890,<=50K
28177,<=50K
29372,<=50K
5547,<=50K
25799,>50K
5819,>50K
22967,<=50K
19404,<=50K
15985,>50K
17477,<=50K
19705,<=50K
1041,>50K
2791,<=50K
19388,>50K
23964,<=50K
10011,<=50K
3642,<=50K
28111,<=50K
29844,<=50K
29990,>50K
24620,<=50K
17316,<=50K
29616,<=50K
16219,<=50K
903,<=50K
19225,<=50K
16717,>50K
21440,<=50K
7268,<=50K
4628,<=50K
23557,<=50K
4667,<=50K
11325,<=50K
29337,>50K
15804,<=50K
25364,>50K
17331,<=50K
13351,<=50K
2451,<=50K
14265,>50K
30072,<=50K
2887,<=50K
5762,<=50K
27628,<=50K
25842,<=50K
20317,<=50K
7082,<=50K
9619,<=50K
2042,>50K
7638,<=50K
6711,<=50K
1078,>50K
723,<=50K
20372,<=50K
22033,<=50K
3574,>50K
23764,>50K
25506,>50K
1623,<=50K
16263,<=50K
1738,<=50K
25987,>50K
11692,<=50K
23672,>50K
2739,>50K
23574,<=50K
5681,<=50K
512,<=50K
11823,<=50K
26041,>50K
6152,>50K
16116,<=50K
25025,<=50K
25385,<=50K
22474,<=50K
22705,<=50K
7575,<=50K
29443,<=50K
14387,>50K
15476,<=50K
23354,<=50K
25337,>50K
4374,<=50K
6582,<=50K
27968,<=50K
18566,<=50K
22236,>50K
19887,<=50K
5382,>50K
1260,<=50K
2021,>50K
5270,<=50K
30123,<=50K
15487,<=50K
16221,<=50K
23988,>50K
3978,<=50K
11940,>50K
22716,<=50K
27064,<=50K
15345,>50K
25515,>50K
19552,<=50K
19797,<=50K
521,<=50K
1092,>50K
7508,<=50K
14531,<=50K
2549,<=50K
8906,<=50K
18932,<=50K
19846,<=50K
15203,>50K
14602,>50K
19111,<=50K
6330,<=50K
8554,>50K
191,>50K
6133,>50K
29096,<=50K
19861,<=50K
20480,<=50K
25233,<=50K
30065,<=50K
14835,<=50K
23616,<=50K
17791,<=50K
1723,<=50K
17715,<=50K
21149,<=50K
7731,>50K
28513,>50K
18748,<=50K
17079,<=50K
18845,<=50K
10249,<=50K
13364,>50K
22250,<=50K
7388,<=50K
10525,<=50K
13389,>50K
18317,<=50K
19789,<=50K
1449,<=50K
10073,<=50K
24958,<=50K
770,<=50K
18098,<=50K
15192,<=50K
262,<=50K
24106,<=50K
9349,<=50K
23338,<=50K
20261,>50K
29051,>50K
6564,<=50K
9410,<=50K
24348,>50K
14467,>50K
38,<=50K
23480,<=50K
25874,<=50K
11870,>50K
14601,<=50K
22183,>50K
359,<=50K
2341,<=50K
17637,<=50K
18309,<=50K
29536,<=50K
9399,<=50K
18890,<=50K
20742,>50K
28405,<=50K
11796,<=50K
12641,<=50K
1927,<=50K
19889,<=50K
4546,>50K
7951,<=50K
22009,>50K
29628,<=50K
13198,<=50K
27779,<=50K
17180,<=50K
23506,>50K
9557,<=50K
5754,<=50K
8139,<=50K
15042,>50K
28142,<=50K
6632,>50K
18527,<=50K
26040,<=50K
22060,>50K
15241,<=50K
16579,<=50K
9145,<=50K
386,<=50K
28871,<=50K
15957,<=50K
15805,<=50K
25637,<=50K
7207,<=50K
15257,>50K
13014,<=50K
22411,<=50K
28826,<=50K
29637,<=50K
15635,<=50K
18625,>50K
30446,>50K
9745,<=50K
25508,<=50K
217,<=50K
27927,<=50K
7726,<=50K
28786,<=50K
27848,<=50K
22689,<=50K
4854,<=50K
14106,<=50K
21656,<=50K
7953,<=50K
19609,>50K
