CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT
0.3494,0.0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,9.97
5.73116,0.0,18.1,0,0.532,7.061,77.0,3.4106,24,666,20.2,7.01
3.77498,0.0,18.1,0,0.655,5.952,84.7,2.8715,24,666,20.2,17.15
0.85204,0.0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21.0,13.83
9.51363,0.0,18.1,0,0.713,6.728,94.1,2.4961,24,666,20.2,18.71
0.03359,75.0,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,1.98
0.15936,0.0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,7.44
0.04297,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293,16.6,9.51
0.15038,0.0,25.65,0,0.581,5.856,97.0,1.9444,2,188,19.1,25.41
0.06129,20.0,3.33,1,0.4429,7.645,49.7,5.2119,5,216,14.9,3.01
0.03548,80.0,3.64,0,0.392,5.876,19.1,9.2203,1,315,16.4,9.25
0.01096,55.0,2.25,0,0.389,6.453,31.9,7.3073,1,300,15.3,8.23
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,20.45
73.5341,0.0,18.1,0,0.679,5.957,100.0,1.8026,24,666,20.2,20.62
0.0536,21.0,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,5.28
0.03705,20.0,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,4.59
0.12816,12.5,6.07,0,0.409,5.885,33.0,6.498,4,345,18.9,8.79
5.87205,0.0,18.1,0,0.693,6.405,96.0,1.6768,24,666,20.2,19.37
4.22239,0.0,18.1,1,0.77,5.803,89.0,1.9047,24,666,20.2,14.64
0.03113,0.0,4.39,0,0.442,6.014,48.5,8.0136,3,352,18.8,10.53
14.0507,0.0,18.1,0,0.597,6.657,100.0,1.5275,24,666,20.2,21.22
4.34879,0.0,18.1,0,0.58,6.167,84.0,3.0334,24,666,20.2,16.29
4.81213,0.0,18.1,0,0.713,6.701,90.0,2.5975,24,666,20.2,16.42
0.13587,0.0,10.59,1,0.489,6.064,59.1,4.2392,4,277,18.6,14.66
13.5222,0.0,18.1,0,0.631,3.863,100.0,1.5106,24,666,20.2,13.33
9.82349,0.0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,21.24
19.6091,0.0,18.1,0,0.671,7.313,97.9,1.3163,24,666,20.2,13.44
10.6718,0.0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,23.98
0.17171,25.0,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,14.44
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,19.15
0.02498,0.0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,8.65
0.22927,0.0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,18.8
0.25199,0.0,10.59,0,0.489,5.783,72.7,4.3549,4,277,18.6,18.06
1.22358,0.0,19.58,0,0.605,6.943,97.4,1.8773,5,403,14.7,4.59
0.17899,0.0,9.69,0,0.585,5.67,28.8,2.7986,6,391,19.2,17.6
0.40202,0.0,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,10.36
0.20746,0.0,27.74,0,0.609,5.093,98.0,1.8226,4,711,20.1,29.68
0.02543,55.0,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,7.18
1.19294,0.0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,12.26
0.04294,28.0,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,10.59
0.19186,0.0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,5.08
8.20058,0.0,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,16.94
0.03584,80.0,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,4.67
0.33147,0.0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,3.95
0.35233,0.0,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,14.59
12.8023,0.0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,23.79
0.0566,0.0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,5.5
45.7461,0.0,18.1,0,0.693,4.519,100.0,1.6582,24,666,20.2,36.98
1.46336,0.0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,1.73
0.08265,0.0,13.92,0,0.437,6.127,18.4,5.5027,4,289,16.0,8.58
0.0136,75.0,4.0,0,0.41,5.888,47.6,7.3197,3,469,21.1,14.8
0.06263,0.0,11.93,0,0.573,6.593,69.1,2.4786,1,273,21.0,9.67
3.83684,0.0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,14.19
1.23247,0.0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21.0,18.72
15.288,0.0,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,23.24
7.36711,0.0,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,21.52
0.08664,45.0,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,2.87
0.07896,0.0,12.83,0,0.437,6.273,6.0,4.2515,5,398,18.7,6.78
0.01538,90.0,3.75,0,0.394,7.454,34.2,6.3361,3,244,15.9,3.11
0.1396,0.0,8.56,0,0.52,6.167,90.0,2.421,5,384,20.9,12.33
0.66351,20.0,3.97,0,0.647,7.333,100.0,1.8946,5,264,13.0,7.79
0.62976,0.0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21.0,8.26
0.03502,80.0,4.95,0,0.411,6.861,27.9,5.1167,4,245,19.2,3.33
0.25356,0.0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,11.5
0.38214,0.0,6.2,0,0.504,8.04,86.5,3.2157,8,307,17.4,3.13
0.22969,0.0,10.59,0,0.489,6.326,52.5,4.3549,4,277,18.6,10.97
0.29819,0.0,6.2,0,0.504,7.686,17.0,3.3751,8,307,17.4,3.92
0.09744,0.0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,11.41
7.75223,0.0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,16.23
0.6147,0.0,6.2,0,0.507,6.618,80.8,3.2721,8,307,17.4,7.6
0.19657,22.0,5.86,0,0.431,6.226,79.2,8.0555,7,330,19.1,10.15
0.0578,0.0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,5.04
8.26725,0.0,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,8.88
0.03466,35.0,6.06,0,0.4379,6.031,23.3,6.6407,1,304,16.9,7.83
0.06076,0.0,11.93,0,0.573,6.976,91.0,2.1675,1,273,21.0,5.64
5.66998,0.0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,3.73
0.01381,80.0,0.46,0,0.422,7.875,32.0,5.6484,4,255,14.4,2.97
8.05579,0.0,18.1,0,0.584,5.427,95.4,2.4298,24,666,20.2,18.14
1.38799,0.0,8.14,0,0.538,5.95,82.0,3.99,4,307,21.0,27.71
0.12269,0.0,6.91,0,0.448,6.069,40.0,5.7209,3,233,17.9,9.55
0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,7.43
5.29305,0.0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,18.76
8.71675,0.0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,17.12
0.24103,0.0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,12.79
0.17142,0.0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,10.21
0.04337,21.0,5.64,0,0.439,6.115,63.0,6.8147,4,243,16.8,9.43
6.71772,0.0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,17.44
0.44178,0.0,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,3.76
5.44114,0.0,18.1,0,0.713,6.655,98.2,2.3552,24,666,20.2,17.73
0.06642,0.0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,6.92
0.09512,0.0,12.83,0,0.437,6.286,45.0,4.5026,5,398,18.7,8.94
12.2472,0.0,18.1,0,0.584,5.837,59.7,1.9976,24,666,20.2,15.69
1.6566,0.0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,14.1
2.24236,0.0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,11.64
0.33045,0.0,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,10.88
0.16439,22.0,5.86,0,0.431,6.433,49.1,7.8265,7,330,19.1,9.52
0.06911,45.0,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,4.69
0.11425,0.0,13.89,1,0.55,6.373,92.4,3.3633,5,276,16.4,10.5
0.04417,70.0,2.24,0,0.4,6.871,47.4,7.8278,5,358,14.8,6.07
0.01709,90.0,2.02,0,0.41,6.728,36.1,12.1265,5,187,17.0,4.5
0.1415,0.0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,5.81
0.21977,0.0,6.91,0,0.448,5.602,62.0,6.0877,3,233,17.9,16.2
0.04301,80.0,1.91,0,0.413,5.663,21.9,10.5857,4,334,22.0,8.05
0.43571,0.0,10.59,1,0.489,5.344,100.0,3.875,4,277,18.6,23.09
0.57834,20.0,3.97,0,0.575,8.297,67.0,2.4216,5,264,13.0,7.44
0.04981,21.0,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,8.43
0.0795,60.0,1.69,0,0.411,6.579,35.9,10.7103,4,411,18.3,5.49
4.03841,0.0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,12.87
0.05515,33.0,2.18,0,0.472,7.236,41.1,4.022,7,222,18.4,6.93
0.16211,20.0,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,6.59
0.10959,0.0,11.93,0,0.573,6.794,89.3,2.3889,1,273,21.0,6.48
0.06724,0.0,3.24,0,0.46,6.333,17.2,5.2146,4,430,16.9,7.34
15.5757,0.0,18.1,0,0.58,5.926,71.0,2.9084,24,666,20.2,18.13
0.03551,25.0,4.86,0,0.426,6.167,46.7,5.4007,4,281,19.0,7.51
0.08447,0.0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,9.64
14.4383,0.0,18.1,0,0.597,6.852,100.0,1.4655,24,666,20.2,19.78
1.25179,0.0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21.0,21.02
9.59571,0.0,18.1,0,0.693,6.404,100.0,1.639,24,666,20.2,20.31
0.08221,22.0,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,3.53
0.04684,0.0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,8.81
0.09604,40.0,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,2.98
1.00245,0.0,8.14,0,0.538,6.674,87.3,4.239,4,307,21.0,11.98
9.91655,0.0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,29.97
5.82401,0.0,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,10.74
0.07978,40.0,6.41,0,0.447,6.482,32.1,4.1403,4,254,17.6,7.19
15.0234,0.0,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,24.91
0.52693,0.0,6.2,0,0.504,8.725,83.0,2.8944,8,307,17.4,4.63
0.08199,0.0,13.92,0,0.437,6.009,42.3,5.5027,4,289,16.0,10.4
0.05188,0.0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,12.86
0.19802,0.0,10.59,0,0.489,6.182,42.4,3.9454,4,277,18.6,9.47
6.39312,0.0,18.1,0,0.584,6.162,97.4,2.206,24,666,20.2,24.1
0.1265,25.0,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,9.5
2.01019,0.0,19.58,0,0.605,7.929,96.2,2.0459,5,403,14.7,3.7
0.02187,60.0,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,5.03
0.08387,0.0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,9.1
0.17331,0.0,9.69,0,0.585,5.707,54.0,2.3817,6,391,19.2,12.01
0.5405,20.0,3.97,0,0.575,7.47,52.6,2.872,5,264,13.0,3.16
0.12802,0.0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,12.27
88.9762,0.0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,17.21
3.32105,0.0,19.58,1,0.871,5.403,100.0,1.3216,5,403,14.7,26.82
18.4982,0.0,18.1,0,0.668,4.138,100.0,1.137,24,666,20.2,37.97
0.05497,0.0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,9.74
0.61154,20.0,3.97,0,0.647,8.704,86.9,1.801,5,264,13.0,5.12
0.07886,80.0,4.95,0,0.411,7.148,27.7,5.1167,4,245,19.2,3.56
0.15445,25.0,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,6.86
0.22212,0.0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,17.09
0.08244,30.0,4.93,0,0.428,6.481,18.5,6.1899,6,300,16.6,6.36
0.03768,80.0,1.52,0,0.404,7.274,38.3,7.309,2,329,12.6,6.62
4.87141,0.0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,18.68
1.12658,0.0,19.58,1,0.871,5.012,88.0,1.6102,5,403,14.7,12.12
0.01301,35.0,1.52,0,0.442,7.241,49.3,7.0379,1,284,15.5,5.49
12.0482,0.0,18.1,0,0.614,5.648,87.6,1.9512,24,666,20.2,14.1
10.233,0.0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,18.03
0.0351,95.0,2.68,0,0.4161,7.853,33.2,5.118,4,224,14.7,3.81
0.62356,0.0,6.2,1,0.507,6.879,77.7,3.2721,8,307,17.4,9.93
0.06211,40.0,1.25,0,0.429,6.49,44.4,8.7921,1,335,19.7,5.98
0.54452,0.0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,18.46
23.6482,0.0,18.1,0,0.671,6.38,96.2,1.3861,24,666,20.2,23.69
0.04462,25.0,4.86,0,0.426,6.619,70.4,5.4007,4,281,19.0,7.22
3.69695,0.0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,14.0
0.07244,60.0,1.69,0,0.411,5.884,18.5,10.7103,4,411,18.3,7.79
0.44791,0.0,6.2,1,0.507,6.726,66.5,3.6519,8,307,17.4,8.05
0.25387,0.0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,30.81
0.67191,0.0,8.14,0,0.538,5.813,90.3,4.682,4,307,21.0,14.81
0.11432,0.0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,7.67
0.17783,0.0,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,15.1
0.14103,0.0,13.92,0,0.437,5.79,58.0,6.32,4,289,16.0,15.84
0.3692,0.0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,9.28
0.40771,0.0,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,21.46
0.26838,0.0,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,14.1
0.03578,20.0,3.33,0,0.4429,7.82,64.5,4.6947,5,216,14.9,3.76
0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,5.21
0.01501,80.0,2.01,0,0.435,6.635,29.7,8.344,4,280,17.0,5.99
0.57529,0.0,6.2,0,0.507,8.337,73.3,3.8384,8,307,17.4,2.47
0.01501,90.0,1.21,1,0.401,7.923,24.8,5.885,1,198,13.6,3.16
0.31533,0.0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,4.14
0.14932,25.0,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,13.15
0.0686,0.0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18.0,6.19
2.3004,0.0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,11.1
0.03427,0.0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,9.8
0.2909,0.0,21.89,0,0.624,6.174,93.6,1.6119,4,437,21.2,24.16
0.13642,0.0,10.59,0,0.489,5.891,22.3,3.9454,4,277,18.6,10.87
13.9134,0.0,18.1,0,0.713,6.208,95.0,2.2222,24,666,20.2,15.17
0.10153,0.0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,11.97
15.8603,0.0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,24.39
0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,10.11
0.10008,0.0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,5.68
0.22876,0.0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,10.63
0.12204,0.0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18.0,6.65
0.33983,22.0,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,9.16
0.7857,20.0,3.97,0,0.647,7.014,84.6,2.1329,5,264,13.0,14.79
0.18337,0.0,27.74,0,0.609,5.414,98.3,1.7554,4,711,20.1,23.97
0.10612,30.0,4.93,0,0.428,6.095,65.1,6.3361,6,300,16.6,12.4
1.51902,0.0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,3.32
0.05083,0.0,5.19,0,0.515,6.316,38.1,6.4584,5,224,20.2,5.68
4.66883,0.0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,19.01
1.05393,0.0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21.0,6.58
0.03537,34.0,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,9.5
7.83932,0.0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,13.22
0.09103,0.0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,4.82
4.0974,0.0,19.58,0,0.871,5.468,100.0,1.4118,5,403,14.7,26.42
38.3518,0.0,18.1,0,0.693,5.453,100.0,1.4896,24,666,20.2,30.59
0.10793,0.0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,13.0
0.07151,0.0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,8.44
0.06127,40.0,6.41,1,0.447,6.826,27.6,4.8628,4,254,17.6,4.16
0.04666,80.0,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,8.61
1.27346,0.0,19.58,1,0.605,6.25,92.6,1.7984,5,403,14.7,5.5
0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,8.1
0.13914,0.0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,14.69
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,13.27
0.0456,0.0,13.89,1,0.55,5.888,56.0,3.1121,5,276,16.4,13.51
0.18159,0.0,7.38,0,0.493,6.376,54.3,4.5404,5,287,19.6,6.87
0.1,34.0,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,4.86
14.4208,0.0,18.1,0,0.74,6.461,93.3,2.0026,24,666,20.2,18.05
1.34284,0.0,19.58,0,0.605,6.066,100.0,1.7573,5,403,14.7,6.43
2.44668,0.0,19.58,0,0.871,5.272,94.0,1.7364,5,403,14.7,16.14
0.14231,0.0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,10.45
0.01778,95.0,1.47,0,0.403,7.135,13.9,7.6534,3,402,17.0,4.45
0.09068,45.0,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,5.1
51.1358,0.0,18.1,0,0.597,5.757,100.0,1.413,24,666,20.2,10.11
10.8342,0.0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,25.79
0.05372,0.0,13.92,0,0.437,6.549,51.0,5.9604,4,289,16.0,7.39
0.21161,0.0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,13.44
15.8744,0.0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,21.08
0.97617,0.0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,17.31
0.06151,0.0,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,9.29
3.69311,0.0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,14.65
0.09065,20.0,6.96,1,0.464,5.92,61.5,3.9175,3,223,18.6,13.65
2.63548,0.0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,12.64
0.12329,0.0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,16.21
0.05059,0.0,4.49,0,0.449,6.389,48.0,4.7794,3,247,18.5,9.62
0.02009,95.0,2.68,0,0.4161,8.034,31.9,5.118,4,224,14.7,2.88
3.53501,0.0,19.58,1,0.871,6.152,82.6,1.7455,5,403,14.7,15.02
67.9208,0.0,18.1,0,0.693,5.683,100.0,1.4254,24,666,20.2,22.98
11.0874,0.0,18.1,0,0.718,6.411,100.0,1.8589,24,666,20.2,15.02
0.04113,25.0,4.86,0,0.426,6.727,33.5,5.4007,4,281,19.0,5.29
0.537,0.0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,11.65
0.0187,85.0,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,6.36
0.09178,0.0,4.05,0,0.51,6.416,84.1,2.6463,5,296,16.6,9.04
1.61282,0.0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21.0,20.34
0.75026,0.0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21.0,16.3
0.23912,0.0,9.69,0,0.585,6.019,65.3,2.4091,6,391,19.2,12.92
11.5779,0.0,18.1,0,0.7,5.036,97.0,1.77,24,666,20.2,25.68
0.02875,28.0,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,6.21
6.80117,0.0,18.1,0,0.713,6.081,84.4,2.7175,24,666,20.2,14.7
3.67367,0.0,18.1,0,0.583,6.312,51.9,3.9917,24,666,20.2,10.58
0.03615,80.0,4.95,0,0.411,6.63,23.4,5.1167,4,245,19.2,4.7
1.20742,0.0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,14.43
2.73397,0.0,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,21.45
