age,workclass,education_num,marital_status,occupation,relationship,sex,hours_per_week,income
47,Local_gov,10,Divorced,Adm_clerical,Unmarried,Female,38,<=50K
34,Private,9,Never_married,Adm_clerical,Not_in_family,Female,40,<=50K
33,Private,13,Never_married,Exec_managerial,Other_relative,Female,40,<=50K
21,Private,9,Never_married,Craft_repair,Own_child,Male,35,<=50K
48,Private,9,Married_civ_spouse,Craft_repair,Husband,Male,46,<=50K
23,Private,13,Never_married,Handlers_cleaners,Not_in_family,Male,40,<=50K
71,Self_emp_not_inc,10,Separated,Sales,Unmarried,Male,2,<=50K
29,Private,9,Divorced,Craft_repair,Not_in_family,Male,60,<=50K
42,Private,13,Separated,Other_service,Other_relative,Male,50,<=50K
25,Private,9,Never_married,Other_service,Unmarried,Female,40,<=50K
44,Self_emp_inc,14,Divorced,Exec_managerial,Unmarried,Female,40,<=50K
28,Private,9,Never_married,Exec_managerial,Not_in_family,Female,40,<=50K
45,Self_emp_not_inc,14,Married_civ_spouse,Sales,Husband,Male,40,>50K
36,Private,10,Divorced,Other_service,Unmarried,Female,40,<=50K
39,Federal_gov,12,Never_married,Exec_managerial,Not_in_family,Male,42,<=50K
46,State_gov,14,Widowed,Protective_serv,Unmarried,Male,40,<=50K
18,Private,7,Never_married,Handlers_cleaners,Own_child,Male,16,<=50K
66,Local_gov,11,Widowed,Prof_specialty,Not_in_family,Female,20,<=50K
27,Private,9,Never_married,Other_service,Not_in_family,Male,40,<=50K
28,State_gov,9,Married_civ_spouse,Protective_serv,Husband,Male,40,<=50K
51,Private,10,Married_civ_spouse,Sales,Husband,Male,40,>50K
27,Private,13,Never_married,Craft_repair,Not_in_family,Male,50,<=50K
28,State_gov,13,Married_civ_spouse,Prof_specialty,Husband,Male,40,>50K
27,Private,9,Married_spouse_absent,Sales,Unmarried,Female,25,<=50K
21,Private,9,Never_married,Craft_repair,Own_child,Male,40,<=50K
34,Private,9,Never_married,Handlers_cleaners,Not_in_family,Male,40,<=50K
18,Private,9,Never_married,Other_service,Own_child,Male,12,<=50K
33,Private,13,Married_civ_spouse,Prof_specialty,Husband,Male,65,<=50K
44,Local_gov,10,Married_civ_spouse,Exec_managerial,Husband,Male,38,>50K
43,Private,10,Divorced,Adm_clerical,Not_in_family,Female,40,<=50K
30,Private,10,Never_married,Craft_repair,Not_in_family,Male,45,<=50K
40,Private,4,Married_civ_spouse,Machine_op_inspct,Husband,Male,40,>50K
37,Federal_gov,10,Married_civ_spouse,Adm_clerical,Husband,Male,42,>50K
34,Private,9,Married_civ_spouse,Adm_clerical,Husband,Male,40,<=50K
41,Self_emp_not_inc,13,Divorced,Exec_managerial,Not_in_family,Female,40,<=50K
31,Private,14,Married_civ_spouse,Prof_specialty,Wife,Female,50,<=50K
58,State_gov,16,Married_civ_spouse,Prof_specialty,Husband,Male,1,>50K
38,Private,10,Divorced,Machine_op_inspct,Not_in_family,Female,28,<=50K
24,Private,10,Married_civ_spouse,Machine_op_inspct,Husband,Male,40,<=50K
41,Local_gov,13,Married_civ_spouse,Craft_repair,Husband,Male,40,<=50K
47,Private,10,Married_civ_spouse,Tech_support,Husband,Male,45,<=50K
41,Federal_gov,13,Married_civ_spouse,Tech_support,Husband,Male,24,<=50K
23,Private,3,Married_civ_spouse,Transport_moving,Other_relative,Male,40,<=50K
36,Private,10,Divorced,Craft_repair,Not_in_family,Male,40,<=50K
40,Federal_gov,14,Never_married,Exec_managerial,Not_in_family,Female,55,>50K
35,Private,14,Married_civ_spouse,Prof_specialty,Other_relative,Male,40,>50K
24,Self_emp_not_inc,9,Never_married,Sales,Not_in_family,Male,40,<=50K
26,Private,14,Never_married,Prof_specialty,Not_in_family,Female,40,<=50K
51,Private,13,Married_civ_spouse,Exec_managerial,Husband,Male,50,>50K
42,Local_gov,10,Never_married,Prof_specialty,Not_in_family,Female,40,<=50K
37,State_gov,9,Divorced,Adm_clerical,Unmarried,Female,35,<=50K
18,Private,7,Never_married,Sales,Own_child,Female,40,<=50K
36,Private,13,Married_civ_spouse,Other_service,Husband,Male,36,>50K
35,Private,9,Divorced,Craft_repair,Not_in_family,Male,60,<=50K
58,Self_emp_inc,9,Married_civ_spouse,Sales,Wife,Female,35,>50K
17,Private,7,Never_married,Sales,Own_child,Female,12,<=50K
44,Local_gov,9,Married_civ_spouse,Transport_moving,Husband,Male,40,<=50K
37,Private,9,Married_civ_spouse,Craft_repair,Husband,Male,40,>50K
35,Private,10,Never_married,Sales,Not_in_family,Female,40,<=50K
60,Private,9,Married_civ_spouse,Craft_repair,Husband,Male,40,<=50K
54,Self_emp_inc,4,Married_civ_spouse,Machine_op_inspct,Husband,Male,40,>50K
37,Private,13,Never_married,Exec_managerial,Not_in_family,Male,60,>50K
50,Private,12,Divorced,Sales,Not_in_family,Female,40,<=50K
38,Private,13,Married_civ_spouse,Sales,Husband,Male,50,<=50K
45,Private,13,Married_civ_spouse,Prof_specialty,Husband,Male,55,<=50K
25,Private,6,Never_married,Craft_repair,Not_in_family,Male,40,<=50K
31,Private,10,Married_civ_spouse,Handlers_cleaners,Husband,Male,40,<=50K
90,Private,9,Never_married,Other_service,Not_in_family,Male,40,<=50K
54,Private,9,Married_civ_spouse,Adm_clerical,Husband,Male,20,<=50K
53,Local_gov,1,Never_married,Machine_op_inspct,Not_in_family,Female,35,<=50K
18,Private,9,Never_married,Sales,Own_child,Female,40,<=50K
66,Self_emp_not_inc,9,Married_civ_spouse,Farming_fishing,Husband,Male,50,<=50K
75,Private,11,Widowed,Adm_clerical,Not_in_family,Female,20,<=50K
65,Private,9,Divorced,Adm_clerical,Not_in_family,Female,40,<=50K
35,Private,7,Separated,Transport_moving,Not_in_family,Male,40,<=50K
41,Private,9,Divorced,Sales,Unmarried,Female,38,<=50K
25,Private,10,Never_married,Adm_clerical,Not_in_family,Male,42,<=50K
33,Private,10,Divorced,Craft_repair,Other_relative,Female,40,<=50K
28,Private,15,Never_married,Prof_specialty,Not_in_family,Male,55,>50K
59,State_gov,9,Married_civ_spouse,Other_service,Husband,Male,40,<=50K
40,State_gov,10,Never_married,Adm_clerical,Not_in_family,Female,38,<=50K
41,Private,13,Married_civ_spouse,Exec_managerial,Husband,Male,50,>50K
38,Local_gov,14,Married_civ_spouse,Exec_managerial,Husband,Male,70,>50K
23,Private,9,Never_married,Transport_moving,Own_child,Male,40,<=50K
40,Private,13,Married_civ_spouse,Prof_specialty,Husband,Male,40,>50K
41,Self_emp_not_inc,9,Married_civ_spouse,Other_service,Wife,Female,20,<=50K
24,State_gov,12,Married_civ_spouse,Protective_serv,Husband,Male,50,<=50K
38,Private,10,Divorced,Craft_repair,Not_in_family,Male,40,<=50K
56,Private,9,Married_civ_spouse,Adm_clerical,Husband,Male,35,<=50K
58,Private,9,Married_civ_spouse,Adm_clerical,Husband,Male,45,>50K
32,Private,9,Never_married,Other_service,Not_in_family,Female,34,<=50K
40,Private,12,Married_civ_spouse,Tech_support,Husband,Male,60,>50K
45,Private,9,Married_civ_spouse,Adm_clerical,Husband,Male,40,<=50K
41,Private,15,Married_civ_spouse,Prof_specialty,Wife,Female,40,>50K
42,Private,13,Married_civ_spouse,Adm_clerical,Wife,Female,40,<=50K
59,Local_gov,6,Widowed,Other_service,Unmarried,Female,30,<=50K
19,Local_gov,10,Never_married,Adm_clerical,Own_child,Male,40,<=50K
58,Private,10,Never_married,Transport_moving,Not_in_family,Male,20,<=50K
42,Self_emp_not_inc,9,Married_civ_spouse,Farming_fishing,Husband,Male,40,>50K
20,Private,9,Never_married,Other_service,Own_child,Female,40,<=50K
32,Private,9,Separated,Other_service,Not_in_family,Female,30,<=50K
45,Private,11,Widowed,Exec_managerial,Not_in_family,Female,45,<=50K
50,Private,4,Divorced,Craft_repair,Not_in_family,Male,40,<=50K
36,Private,13,Divorced,Prof_specialty,Own_child,Female,40,<=50K
45,Private,9,Married_civ_spouse,Sales,Husband,Male,60,<=50K
17,Private,7,Never_married,Other_service,Own_child,Male,12,<=50K
59,Private,10,Married_civ_spouse,Sales,Husband,Male,40,<=50K
26,Private,7,Married_civ_spouse,Craft_repair,Husband,Male,40,<=50K
37,Self_emp_inc,10,Married_civ_spouse,Exec_managerial,Husband,Male,75,>50K
64,Private,9,Married_civ_spouse,Exec_managerial,Husband,Male,40,>50K
33,Private,13,Never_married,Prof_specialty,Not_in_family,Female,45,<=50K
33,Private,9,Married_civ_spouse,Craft_repair,Wife,Female,40,>50K
61,Private,9,Married_civ_spouse,Exec_managerial,Husband,Male,40,>50K
17,Private,5,Never_married,Other_service,Own_child,Male,24,<=50K
50,Self_emp_not_inc,14,Married_civ_spouse,Farming_fishing,Husband,Male,98,<=50K
27,Local_gov,14,Never_married,Prof_specialty,Own_child,Male,35,<=50K
30,Private,9,Divorced,Prof_specialty,Own_child,Female,40,<=50K
43,Private,9,Married_civ_spouse,Handlers_cleaners,Husband,Male,40,<=50K
44,Private,10,Married_civ_spouse,Craft_repair,Husband,Male,40,>50K
35,Private,10,Never_married,Exec_managerial,Not_in_family,Female,40,<=50K
25,Private,10,Never_married,Tech_support,Own_child,Female,40,<=50K
24,Private,10,Married_civ_spouse,Machine_op_inspct,Wife,Female,48,>50K
22,Private,13,Never_married,Prof_specialty,Not_in_family,Female,15,<=50K
42,Local_gov,10,Married_civ_spouse,Craft_repair,Husband,Male,40,>50K
34,Private,12,Divorced,Sales,Unmarried,Female,45,<=50K
60,Private,13,Divorced,Prof_specialty,Not_in_family,Female,42,<=50K
21,Private,9,Never_married,Handlers_cleaners,Own_child,Male,40,<=50K
57,Federal_gov,14,Married_civ_spouse,Sales,Husband,Male,40,>50K
41,Private,15,Married_civ_spouse,Prof_specialty,Husband,Male,60,>50K
50,Private,10,Divorced,Other_service,Not_in_family,Male,45,<=50K
25,Private,13,Never_married,Exec_managerial,Not_in_family,Female,40,<=50K
50,Private,4,Married_civ_spouse,Craft_repair,Husband,Male,40,<=50K
36,Private,13,Married_civ_spouse,Prof_specialty,Husband,Male,45,<=50K
31,Private,9,Divorced,Prof_specialty,Not_in_family,Female,40,<=50K
29,Local_gov,13,Never_married,Protective_serv,Not_in_family,Male,56,<=50K
21,Private,10,Never_married,Sales,Own_child,Male,45,<=50K
27,Private,13,Never_married,Tech_support,Unmarried,Female,40,<=50K
65,Private,9,Married_civ_spouse,Transport_moving,Husband,Male,16,<=50K
37,Self_emp_inc,13,Divorced,Sales,Not_in_family,Female,60,<=50K
24,Private,9,Never_married,Craft_repair,Own_child,Male,40,<=50K
38,Private,9,Divorced,Sales,Not_in_family,Male,80,<=50K
48,Private,13,Married_civ_spouse,Adm_clerical,Husband,Male,40,>50K
21,Private,10,Never_married,Other_service,Not_in_family,Female,25,<=50K
31,Private,9,Married_civ_spouse,Transport_moving,Husband,Male,45,>50K
55,Private,9,Married_civ_spouse,Sales,Husband,Male,40,>50K
24,Private,10,Married_civ_spouse,Adm_clerical,Wife,Female,40,<=50K
43,Private,9,Divorced,Adm_clerical,Not_in_family,Female,40,<=50K
26,Private,12,Never_married,Tech_support,Not_in_family,Male,45,<=50K
46,Private,12,Never_married,Prof_specialty,Not_in_family,Female,33,<=50K
35,Private,12,Married_civ_spouse,Adm_clerical,Husband,Male,40,>50K
41,Self_emp_inc,10,Married_civ_spouse,Farming_fishing,Husband,Male,54,>50K
26,Private,13,Never_married,Sales,Not_in_family,Male,40,<=50K
34,Private,14,Married_civ_spouse,Exec_managerial,Husband,Male,35,>50K
36,Self_emp_not_inc,13,Divorced,Prof_specialty,Not_in_family,Female,40,>50K
22,Private,10,Never_married,Sales,Own_child,Male,15,<=50K
24,Private,10,Never_married,Machine_op_inspct,Not_in_family,Male,40,<=50K
77,Self_emp_not_inc,10,Married_civ_spouse,Sales,Husband,Male,40,<=50K
22,Private,3,Married_civ_spouse,Machine_op_inspct,Other_relative,Female,40,<=50K
29,Private,10,Never_married,Tech_support,Not_in_family,Female,40,<=50K
62,Private,9,Widowed,Other_service,Not_in_family,Female,24,<=50K
39,Self_emp_not_inc,9,Married_civ_spouse,Exec_managerial,Husband,Male,40,<=50K
43,Private,10,Married_civ_spouse,Craft_repair,Husband,Male,50,<=50K
35,Private,9,Divorced,Transport_moving,Not_in_family,Male,45,<=50K
29,Private,7,Never_married,Exec_managerial,Not_in_family,Female,40,<=50K
76,Self_emp_not_inc,14,Married_civ_spouse,Craft_repair,Husband,Male,10,<=50K
63,Self_emp_not_inc,9,Married_civ_spouse,Farming_fishing,Husband,Male,45,<=50K
43,Private,10,Married_civ_spouse,Prof_specialty,Wife,Female,50,>50K
58,Self_emp_not_inc,9,Married_civ_spouse,Handlers_cleaners,Husband,Male,40,<=50K
66,Private,9,Never_married,Transport_moving,Not_in_family,Male,55,<=50K
41,Private,10,Never_married,Craft_repair,Not_in_family,Male,45,<=50K
26,Private,13,Never_married,Adm_clerical,Not_in_family,Male,40,<=50K
47,Private,11,Never_married,Other_service,Not_in_family,Male,40,<=50K
55,Local_gov,6,Married_civ_spouse,Adm_clerical,Husband,Male,40,<=50K
53,Private,9,Married_civ_spouse,Transport_moving,Husband,Male,40,<=50K
17,Private,3,Never_married,Other_service,Other_relative,Male,48,<=50K
30,Private,9,Never_married,Craft_repair,Other_relative,Male,40,<=50K
49,Private,14,Never_married,Prof_specialty,Not_in_family,Male,60,<=50K
19,Private,9,Never_married,Sales,Unmarried,Male,30,<=50K
45,Private,9,Married_civ_spouse,Other_service,Husband,Male,40,<=50K
26,Private,12,Never_married,Sales,Not_in_family,Male,40,<=50K
38,Private,11,Married_civ_spouse,Craft_repair,Husband,Male,40,>50K
36,State_gov,9,Married_civ_spouse,Protective_serv,Husband,Male,40,>50K
33,Private,9,Never_married,Farming_fishing,Not_in_family,Male,20,<=50K
22,State_gov,10,Never_married,Protective_serv,Own_child,Female,40,<=50K
43,Self_emp_not_inc,13,Never_married,Sales,Not_in_family,Male,42,<=50K
56,Private,12,Married_spouse_absent,Other_service,Not_in_family,Male,25,<=50K
31,Private,13,Never_married,Prof_specialty,Own_child,Male,25,<=50K
33,Private,13,Married_civ_spouse,Exec_managerial,Husband,Male,40,>50K
26,Private,9,Married_civ_spouse,Other_service,Husband,Male,40,<=50K
33,Private,13,Married_civ_spouse,Exec_managerial,Husband,Male,40,>50K
46,Local_gov,7,Married_civ_spouse,Transport_moving,Husband,Male,30,<=50K
38,Federal_gov,9,Married_civ_spouse,Adm_clerical,Husband,Male,40,>50K
65,Private,7,Widowed,Other_service,Unmarried,Male,40,<=50K
40,Private,11,Married_civ_spouse,Tech_support,Husband,Male,40,>50K
42,Private,9,Married_civ_spouse,Adm_clerical,Wife,Female,35,<=50K
26,Self_emp_not_inc,5,Married_civ_spouse,Craft_repair,Husband,Male,40,<=50K
36,Private,6,Married_civ_spouse,Other_service,Wife,Female,24,<=50K
62,Private,14,Married_civ_spouse,Prof_specialty,Husband,Male,40,>50K
43,Private,13,Married_civ_spouse,Transport_moving,Husband,Male,45,<=50K
43,Private,13,Divorced,Exec_managerial,Not_in_family,Male,45,>50K
22,Private,9,Married_spouse_absent,Sales,Not_in_family,Male,55,<=50K
28,Private,9,Married_civ_spouse,Craft_repair,Husband,Male,40,<=50K
56,Self_emp_not_inc,10,Married_civ_spouse,Sales,Husband,Male,45,<=50K
22,Private,12,Never_married,Sales,Not_in_family,Female,15,<=50K
57,Private,13,Divorced,Exec_managerial,Not_in_family,Female,45,>50K
39,Private,9,Divorced,Sales,Unmarried,Female,40,<=50K
26,Federal_gov,10,Never_married,Adm_clerical,Unmarried,Female,15,<=50K
17,Private,7,Never_married,Other_service,Own_child,Male,10,<=50K
40,State_gov,11,Married_civ_spouse,Machine_op_inspct,Husband,Male,38,>50K
45,Private,9,Married_civ_spouse,Machine_op_inspct,Husband,Male,40,<=50K
44,Private,9,Never_married,Craft_repair,Not_in_family,Male,40,<=50K
20,Local_gov,10,Never_married,Adm_clerical,Own_child,Female,10,<=50K
33,Private,9,Married_civ_spouse,Craft_repair,Wife,Female,40,<=50K
23,Private,10,Never_married,Sales,Not_in_family,Male,40,<=50K
46,Self_emp_not_inc,14,Divorced,Exec_managerial,Not_in_family,Male,30,<=50K
38,Private,9,Married_civ_spouse,Sales,Husband,Male,50,<=50K
54,Private,9,Divorced,Transport_moving,Not_in_family,Male,40,<=50K
46,Private,3,Divorced,Craft_repair,Not_in_family,Female,45,<=50K
25,Private,10,Married_civ_spouse,Craft_repair,Husband,Male,40,<=50K
46,Private,10,Divorced,Sales,Not_in_family,Female,40,<=50K
36,Local_gov,10,Married_civ_spouse,Transport_moving,Wife,Female,40,<=50K
23,Private,9,Never_married,Other_service,Not_in_family,Female,25,<=50K
29,Private,9,Separated,Machine_op_inspct,Not_in_family,Male,40,<=50K
44,Private,10,Married_civ_spouse,Adm_clerical,Wife,Female,6,>50K
19,Private,10,Never_married,Adm_clerical,Own_child,Female,16,<=50K
19,Private,9,Never_married,Other_service,Other_relative,Female,40,<=50K
35,Private,9,Married_civ_spouse,Other_service,Wife,Female,40,>50K
