passenger_id,survived,male,female,age,number_sibling_spouse,number_parent_children,fare,embarked_southampton,embarked_cherbourg,embarked_queenstown,ticket_class
40,1,0,1,14,1,0,11.2417,0,1,0,3
41,0,0,1,40,1,0,9.475,1,0,0,3
42,0,0,1,27,1,0,21,1,0,0,2
44,1,0,1,3,1,1,41.5792,0,1,0,2
45,1,0,1,19,0,0,7.8792,0,0,1,3
46,0,1,0,29,0,0,8.05,1,0,0,3
47,0,1,0,20,1,0,15.5,0,0,1,3
48,1,0,1,24,0,0,7.75,0,0,1,3
49,0,1,0,16,2,0,21.6792,0,1,0,3
50,0,0,1,18,1,0,17.8,1,0,0,3
51,0,1,0,7,2.5,1,39.6875,1,0,0,3
52,0,1,0,21,0,0,7.8,1,0,0,3
53,1,0,1,49,1,0,65,0,1,0,1
54,1,0,1,29,1,0,26,1,0,0,2
55,0,1,0,64,0,1,61.9792,0,1,0,1
56,1,1,0,45,0,0,35.5,1,0,0,1
57,1,0,1,21,0,0,10.5,1,0,0,2
58,0,1,0,20,0,0,7.2292,0,1,0,3
59,1,0,1,4,1,1,27.75,1,0,0,2
60,0,1,0,13,2.5,1,46.9,1,0,0,3
61,0,1,0,22,0,0,7.2292,0,1,0,3
62,1,0,1,38,0,0,65,0,0,0,1
63,0,1,0,45,1,0,65,1,0,0,1
64,0,1,0,5,2.5,1,27.9,1,0,0,3
65,0,1,0,54,0,0,27.7208,0,1,0,1
66,1,1,0,7,1,1,15.2458,0,1,0,3
67,1,0,1,29,0,0,10.5,1,0,0,2
68,0,1,0,19,0,0,8.1583,1,0,0,3
69,1,0,1,17,2.5,1,7.925,1,0,0,3
70,0,1,0,26,2,0,8.6625,1,0,0,3
71,0,1,0,32,0,0,10.5,1,0,0,2
72,0,0,1,16,2.5,1,46.9,1,0,0,3
73,0,1,0,21,0,0,65,1,0,0,2
74,0,1,0,26,1,0,14.4542,0,1,0,3
75,1,1,0,32,0,0,56.4958,1,0,0,3
76,0,1,0,25,0,0,7.65,1,0,0,3
77,0,1,0,23,0,0,7.8958,1,0,0,3
78,0,1,0,28,0,0,8.05,1,0,0,3
79,1,1,0,0.83,0,1,29,1,0,0,2
80,1,0,1,31,0,0,12.475,1,0,0,3
81,0,1,0,22,0,0,9,1,0,0,3
82,1,1,0,29,0,0,9.5,1,0,0,3
83,1,0,1,31,0,0,7.7875,0,0,1,3
84,0,1,0,31,0,0,47.1,1,0,0,1
85,1,0,1,17,0,0,10.5,1,0,0,2
86,1,0,1,33,2.5,0,15.85,1,0,0,3
87,0,1,0,16,1,1,34.375,1,0,0,3
88,0,1,0,20,0,0,8.05,1,0,0,3
89,1,0,1,23,2.5,1,65,1,0,0,1
90,0,1,0,24,0,0,8.05,1,0,0,3
91,0,1,0,29,0,0,8.05,1,0,0,3
92,0,1,0,20,0,0,7.8542,1,0,0,3
93,0,1,0,46,1,0,61.175,1,0,0,1
94,0,1,0,25,1,1,20.575,1,0,0,3
95,0,1,0,59,0,0,7.25,1,0,0,3
96,0,1,0,22,0,0,8.05,1,0,0,3
97,0,1,0,71,0,0,34.6542,0,1,0,1
98,1,1,0,23,0,1,63.3583,0,1,0,1
99,1,0,1,34,0,1,23,1,0,0,2
100,0,1,0,34,1,0,26,1,0,0,2
101,0,0,1,28,0,0,7.8958,1,0,0,3
102,0,1,0,29,0,0,7.8958,1,0,0,3
103,0,1,0,21,0,1,65,1,0,0,1
104,0,1,0,33,0,0,8.6542,1,0,0,3
105,0,1,0,37,2,0,7.925,1,0,0,3
106,0,1,0,28,0,0,7.8958,1,0,0,3
107,1,0,1,21,0,0,7.65,1,0,0,3
108,1,1,0,29,0,0,7.775,1,0,0,3
109,0,1,0,38,0,0,7.8958,1,0,0,3
110,1,0,1,28,1,0,24.15,0,0,1,3
111,0,1,0,46,0,0,52,1,0,0,1
112,0,0,1,16,1,0,14.4542,0,1,0,3
113,0,1,0,22,0,0,8.05,1,0,0,3
114,0,0,1,20,1,0,9.825,1,0,0,3
115,0,0,1,17,0,0,14.4583,0,1,0,3
116,0,1,0,21,0,0,7.925,1,0,0,3
117,0,1,0,61,0,0,7.75,0,0,1,3
118,0,1,0,29,1,0,21,1,0,0,2
119,0,1,0,24,0,1,65,0,1,0,1
120,0,0,1,2,2.5,1,31.275,1,0,0,3
121,0,1,0,20,2,0,65,1,0,0,2
122,0,1,0,19,0,0,8.05,1,0,0,3
123,0,1,0,28,1,0,30.0708,0,1,0,2
124,1,0,1,37,0,0,13,1,0,0,2
125,0,1,0,54,0,1,65,1,0,0,1
126,1,1,0,12,1,0,11.2417,0,1,0,3
127,0,1,0,20,0,0,7.75,0,0,1,3
128,1,1,0,24,0,0,7.1417,1,0,0,3
129,1,0,1,2,1,1,22.3583,0,1,0,3
130,0,1,0,45,0,0,6.975,1,0,0,3
131,0,1,0,33,0,0,7.8958,0,1,0,3
132,0,1,0,20,0,0,7.05,1,0,0,3
133,0,0,1,47,1,0,14.5,1,0,0,3
134,1,0,1,37,1,0,26,1,0,0,2
135,0,1,0,25,0,0,13,1,0,0,2
136,0,1,0,23,0,0,15.0458,0,1,0,2
137,1,0,1,19,0,1,26.2833,1,0,0,1
138,0,1,0,37,1,0,53.1,1,0,0,1
139,0,1,0,16,0,0,9.2167,1,0,0,3
140,0,1,0,24,0,0,65,0,1,0,1
141,0,0,1,40,0,1,15.2458,0,1,0,3
142,1,0,1,22,0,0,7.75,1,0,0,3
143,1,0,1,24,1,0,15.85,1,0,0,3
144,0,1,0,19,0,0,6.75,0,0,1,3
145,0,1,0,17,0,0,11.5,1,0,0,2
146,0,1,0,19,1,1,36.75,1,0,0,2
147,1,1,0,27,0,0,7.7958,1,0,0,3
148,0,0,1,7,2,1,34.375,1,0,0,3
149,0,1,0,32,0,1,26,1,0,0,2
150,0,1,0,42,0,0,13,1,0,0,2
151,0,1,0,51,0,0,12.525,1,0,0,2
152,1,0,1,22,1,0,65,1,0,0,1
153,0,1,0,48,0,0,8.05,1,0,0,3
154,0,1,0,35,0,1,14.5,1,0,0,3
155,0,1,0,27,0,0,7.3125,1,0,0,3
156,0,1,0,51,0,1,61.3792,0,1,0,1
157,1,0,1,17,0,0,7.7333,0,0,1,3
158,0,1,0,30,0,0,8.05,1,0,0,3
159,0,1,0,37,0,0,8.6625,1,0,0,3
160,0,1,0,4,2.5,1,65,1,0,0,3
161,0,1,0,44,0,1,16.1,1,0,0,3
162,1,0,1,40,0,0,15.75,1,0,0,2
163,0,1,0,26,0,0,7.775,1,0,0,3
164,0,1,0,17,0,0,8.6625,1,0,0,3
165,0,1,0,1,2.5,1,39.6875,1,0,0,3
166,1,1,0,9,0,1,20.525,1,0,0,3
167,1,0,1,48,0,1,55,1,0,0,1
168,0,0,1,43,1,1,27.9,1,0,0,3
169,0,1,0,60,0,0,25.925,1,0,0,1
170,0,1,0,24,0,0,56.4958,1,0,0,3
171,0,1,0,61,0,0,33.5,1,0,0,1
172,0,1,0,4,2.5,1,29.125,0,0,1,3
173,1,0,1,1,1,1,11.1333,1,0,0,3
174,0,1,0,21,0,0,7.925,1,0,0,3
175,0,1,0,56,0,0,30.6958,0,1,0,1
176,0,1,0,18,1,1,7.8542,1,0,0,3
177,0,1,0,5,2.5,1,25.4667,1,0,0,3
178,0,0,1,50,0,0,28.7125,0,1,0,1
179,0,1,0,30,0,0,13,1,0,0,2
180,0,1,0,36,0,0,0,1,0,0,3
181,0,0,1,7,2.5,1,65,1,0,0,3
182,0,1,0,39,0,0,15.05,0,1,0,1
183,0,1,0,9,2.5,1,31.3875,1,0,0,3
184,1,1,0,1,2,1,39,1,0,0,2
185,1,0,1,4,0,1,22.025,1,0,0,3
186,0,1,0,38,0,0,50,1,0,0,1
187,1,0,1,26,1,0,15.5,0,0,1,3
188,1,1,0,45,0,0,26.55,1,0,0,1
189,0,1,0,42,1,1,15.5,0,0,1,3
190,0,1,0,36,0,0,7.8958,1,0,0,3
191,1,0,1,21,0,0,13,1,0,0,2
192,0,1,0,19,0,0,13,1,0,0,2
193,1,0,1,19,1,0,7.8542,1,0,0,3
194,1,1,0,3,1,1,26,1,0,0,2
195,1,0,1,44,0,0,27.7208,0,1,0,1
196,1,0,1,59,0,0,65,0,1,0,1
197,0,1,0,26,0,0,7.75,0,0,1,3
198,0,1,0,42,0,1,8.4042,1,0,0,3
199,1,0,1,21,0,0,7.75,0,0,1,3
200,0,0,1,24,0,0,13,1,0,0,2
201,0,1,0,28,0,0,9.5,1,0,0,3
202,0,1,0,16,2.5,1,65,1,0,0,3
203,0,1,0,34,0,0,6.4958,1,0,0,3
204,0,1,0,45,0,0,7.225,0,1,0,3
205,1,1,0,18,0,0,8.05,1,0,0,3
206,0,0,1,2,0,1,10.4625,1,0,0,3
207,0,1,0,32,1,0,15.85,1,0,0,3
208,1,1,0,26,0,0,18.7875,0,1,0,3
209,1,0,1,16,0,0,7.75,0,0,1,3
210,1,1,0,39,0,0,31,0,1,0,1
211,0,1,0,24,0,0,7.05,1,0,0,3
212,1,0,1,35,0,0,21,1,0,0,2
213,0,1,0,22,0,0,7.25,1,0,0,3
214,0,1,0,30,0,0,13,1,0,0,2
215,0,1,0,22,1,0,7.75,0,0,1,3
216,1,0,1,31,1,0,65,0,1,0,1
217,1,0,1,27,0,0,7.925,1,0,0,3
218,0,1,0,40,1,0,27,1,0,0,2
219,1,0,1,36,0,0,65,0,1,0,1
220,0,1,0,30,0,0,10.5,1,0,0,2
221,1,1,0,20,0,0,8.05,1,0,0,3
222,0,1,0,29,0,0,13,1,0,0,2
223,0,1,0,40,0,0,8.05,1,0,0,3
224,0,1,0,22,0,0,7.8958,1,0,0,3
225,1,1,0,35,1,0,65,1,0,0,1
226,0,1,0,22,0,0,9.35,1,0,0,3
227,1,1,0,19,0,0,10.5,1,0,0,2
228,0,1,0,20,0,0,7.25,1,0,0,3
229,0,1,0,18,0,0,13,1,0,0,2
230,0,0,1,12,2.5,1,25.4667,1,0,0,3
231,1,0,1,35,1,0,65,1,0,0,1
232,0,1,0,29,0,0,7.775,1,0,0,3
233,0,1,0,30,0,0,13.5,1,0,0,2
234,1,0,1,5,2.5,1,31.3875,1,0,0,3
235,0,1,0,25,0,0,10.5,1,0,0,2
236,0,0,1,21,0,0,7.55,1,0,0,3
237,0,1,0,44,1,0,26,1,0,0,2
238,1,0,1,8,0,1,26.25,1,0,0,2
239,0,1,0,19,0,0,10.5,1,0,0,2
240,0,1,0,33,0,0,12.275,1,0,0,2
241,0,0,1,19,1,0,14.4542,0,1,0,3
242,1,0,1,18,1,0,15.5,0,0,1,3
243,0,1,0,29,0,0,10.5,1,0,0,2
244,0,1,0,22,0,0,7.125,1,0,0,3
245,0,1,0,30,0,0,7.225,0,1,0,3
246,0,1,0,44,2,0,65,0,0,1,1
247,0,0,1,25,0,0,7.775,1,0,0,3
248,1,0,1,24,0,1,14.5,1,0,0,2
249,1,1,0,37,1,1,52.5542,1,0,0,1
250,0,1,0,54,1,0,26,1,0,0,2
251,0,1,0,19,0,0,7.25,1,0,0,3
252,0,0,1,29,1,1,10.4625,1,0,0,3
253,0,1,0,62,0,0,26.55,1,0,0,1
254,0,1,0,30,1,0,16.1,1,0,0,3
255,0,0,1,41,0,1,20.2125,1,0,0,3
256,1,0,1,27,0,1,15.2458,0,1,0,3
257,1,0,1,37,0,0,65,0,1,0,1
258,1,0,1,30,0,0,65,1,0,0,1
259,1,0,1,38,0,0,65,0,1,0,1
260,1,0,1,60,0,1,26,1,0,0,2
261,0,1,0,26,0,0,7.75,0,0,1,3
262,1,1,0,3,2.5,1,31.3875,1,0,0,3
263,0,1,0,52,1,1,65,1,0,0,1
264,0,1,0,45,0,0,0,1,0,0,1
265,0,0,1,23,0,0,7.75,0,0,1,3
266,0,1,0,36,0,0,10.5,1,0,0,2
267,0,1,0,16,2.5,1,39.6875,1,0,0,3
268,1,1,0,25,1,0,7.775,1,0,0,3
269,1,0,1,59,0,1,65,1,0,0,1
270,1,0,1,39,0,0,65,1,0,0,1
271,0,1,0,28,0,0,31,1,0,0,1
272,1,1,0,25,0,0,0,1,0,0,3
273,1,0,1,41,0,1,19.5,1,0,0,2
274,0,1,0,36,0,1,29.7,0,1,0,1
275,1,0,1,29,0,0,7.75,0,0,1,3
276,1,0,1,62,1,0,65,1,0,0,1
277,0,0,1,45,0,0,7.75,1,0,0,3
278,0,1,0,18,0,0,0,1,0,0,2
279,0,1,0,7,2.5,1,29.125,0,0,1,3
280,1,0,1,39,1,1,20.25,1,0,0,3
281,0,1,0,65,0,0,7.75,0,0,1,3
282,0,1,0,28,0,0,7.8542,1,0,0,3
283,0,1,0,16,0,0,9.5,1,0,0,3
284,1,1,0,18,0,0,8.05,1,0,0,3
285,0,1,0,57,0,0,26,1,0,0,1
286,0,1,0,33,0,0,8.6625,0,1,0,3
287,1,1,0,36,0,0,9.5,1,0,0,3
288,0,1,0,22,0,0,7.8958,1,0,0,3
289,1,1,0,41,0,0,13,1,0,0,2
290,1,0,1,22,0,0,7.75,0,0,1,3
291,1,0,1,26,0,0,65,1,0,0,1
292,1,0,1,19,1,0,65,0,1,0,1
293,0,1,0,36,0,0,12.875,0,1,0,2
294,0,0,1,24,0,0,8.85,1,0,0,3
295,0,1,0,24,0,0,7.8958,1,0,0,3
296,0,1,0,31,0,0,27.7208,0,1,0,1
297,0,1,0,35,0,0,7.2292,0,1,0,3
298,0,0,1,2,1,1,65,1,0,0,1
299,1,1,0,47,0,0,30.5,1,0,0,1
300,1,0,1,50,0,1,65,0,1,0,1
301,1,0,1,20,0,0,7.75,0,0,1,3
302,1,1,0,24,2,0,23.25,0,0,1,3
303,0,1,0,19,0,0,0,1,0,0,3
304,1,0,1,46,0,0,12.35,0,0,1,2
305,0,1,0,28,0,0,8.05,1,0,0,3
306,1,1,0,0.92,1,1,65,1,0,0,1
307,1,0,1,42,0,0,65,0,1,0,1
308,1,0,1,22,1,0,65,0,1,0,1
309,0,1,0,30,1,0,24,0,1,0,2
310,1,0,1,31,0,0,56.9292,0,1,0,1
311,1,0,1,24,0,0,65,0,1,0,1
312,1,0,1,18,2,1,65,0,1,0,1
313,0,0,1,26,1,1,26,1,0,0,2
314,0,1,0,28,0,0,7.8958,1,0,0,3
315,0,1,0,47,1,1,26.25,1,0,0,2
316,1,0,1,26,0,0,7.8542,1,0,0,3
317,1,0,1,24,1,0,26,1,0,0,2
318,0,1,0,54,0,0,14,1,0,0,2
319,1,0,1,31,0,1,65,1,0,0,1
320,1,0,1,39,1,1,65,0,1,0,1
321,0,1,0,22,0,0,7.25,1,0,0,3
322,0,1,0,27,0,0,7.8958,1,0,0,3
323,1,0,1,30,0,0,12.35,0,0,1,2
324,1,0,1,28,1,1,29,1,0,0,2
325,0,1,0,19,2.5,1,65,1,0,0,3
326,1,0,1,36,0,0,65,0,1,0,1
327,0,1,0,61,0,0,6.2375,1,0,0,3
328,1,0,1,36,0,0,13,1,0,0,2
329,1,0,1,31,1,1,20.525,1,0,0,3
330,1,0,1,17,0,1,57.9792,0,1,0,1
331,1,0,1,29,2,0,23.25,0,0,1,3
332,0,1,0,40,0,0,28.5,1,0,0,1
333,0,1,0,38,0,1,65,1,0,0,1
334,0,1,0,15,2,0,18,1,0,0,3
335,1,0,1,42,1,0,65,1,0,0,1
336,0,1,0,30,0,0,7.8958,1,0,0,3
337,0,1,0,29,1,0,65,1,0,0,1
338,1,0,1,41,0,0,65,0,1,0,1
339,1,1,0,45,0,0,8.05,1,0,0,3
340,0,1,0,45,0,0,35.5,1,0,0,1
341,1,1,0,2,1,1,26,1,0,0,2
342,1,0,1,24,2.5,1,65,1,0,0,1
343,0,1,0,27,0,0,13,1,0,0,2
344,0,1,0,25,0,0,13,1,0,0,2
345,0,1,0,38,0,0,13,1,0,0,2
346,1,0,1,18,0,0,13,1,0,0,1
347,1,0,1,39,0,0,13,1,0,0,2
349,1,1,0,9,1,1,15.9,1,0,0,3
350,0,1,0,42,0,0,8.6625,1,0,0,3
351,0,1,0,23,0,0,9.225,1,0,0,3
352,0,1,0,43,0,0,35,1,0,0,1
353,0,1,0,17,1,1,7.2292,0,1,0,3
354,0,1,0,25,1,0,17.8,1,0,0,3
355,0,1,0,25,0,0,7.225,0,1,0,3
356,0,1,0,28,0,0,9.5,1,0,0,3
357,1,0,1,22,0,1,55,1,0,0,1
358,0,0,1,38,0,0,13,1,0,0,2
359,1,0,1,22,0,0,7.8792,0,0,1,3
360,1,0,1,23,0,0,7.8792,0,0,1,3
361,0,1,0,40,1,1,27.9,1,0,0,3
362,0,1,0,29,1,0,27.7208,0,1,0,2
363,0,0,1,45,0,1,14.4542,0,1,0,3
364,0,1,0,35,0,0,7.05,1,0,0,3
365,0,1,0,27,1,0,15.5,0,0,1,3
366,0,1,0,30,0,0,7.25,1,0,0,3
367,1,0,1,60,1,0,65,0,1,0,1
368,1,0,1,35,0,0,7.2292,0,1,0,3
369,1,0,1,26,0,0,7.75,0,0,1,3
370,1,0,1,24,0,0,65,0,1,0,1
371,1,1,0,25,1,0,55.4417,0,1,0,1
372,0,1,0,18,1,0,6.4958,1,0,0,3
373,0,1,0,18,0,0,8.05,1,0,0,3
374,0,1,0,22,0,0,65,0,1,0,1
375,0,0,1,3,2.5,1,21.075,1,0,0,3
376,1,0,1,25,1,0,65,0,1,0,1
377,1,0,1,22,0,0,7.25,1,0,0,3
378,0,1,0,27,0,1,65,0,1,0,1
379,0,1,0,20,0,0,4.0125,0,1,0,3
380,0,1,0,19,0,0,7.775,1,0,0,3
381,1,0,1,46,0,0,65,0,1,0,1
382,1,0,1,1,0,1,15.7417,0,1,0,3
383,0,1,0,32,0,0,7.925,1,0,0,3
384,1,0,1,35,1,0,52,1,0,0,1
385,0,1,0,27,0,0,7.8958,1,0,0,3
386,0,1,0,21,0,0,65,1,0,0,2
387,0,1,0,1,2.5,1,46.9,1,0,0,3
388,1,0,1,36,0,0,13,1,0,0,2
389,0,1,0,20,0,0,7.7292,0,0,1,3
390,1,0,1,17,0,0,12,0,1,0,2
391,1,1,0,36,1,1,65,1,0,0,1
392,1,1,0,21,0,0,7.7958,1,0,0,3
393,0,1,0,28,2,0,7.925,1,0,0,3
394,1,0,1,23,1,0,65,0,1,0,1
395,1,0,1,24,0,1,16.7,1,0,0,3
396,0,1,0,22,0,0,7.7958,1,0,0,3
397,0,0,1,31,0,0,7.8542,1,0,0,3
398,0,1,0,46,0,0,26,1,0,0,2
399,0,1,0,23,0,0,10.5,1,0,0,2
400,1,0,1,26,0,0,12.65,1,0,0,2
401,1,1,0,39,0,0,7.925,1,0,0,3
402,0,1,0,26,0,0,8.05,1,0,0,3
403,0,0,1,21,1,0,9.825,1,0,0,3
404,0,1,0,28,1,0,15.85,1,0,0,3
405,0,0,1,20,0,0,8.6625,1,0,0,3
406,0,1,0,33,1,0,21,1,0,0,2
407,0,1,0,51,0,0,7.75,1,0,0,3
408,1,1,0,3,1,1,18.75,1,0,0,2
409,0,1,0,21,0,0,7.775,1,0,0,3
410,0,0,1,3,2.5,1,25.4667,1,0,0,3
411,0,1,0,42,0,0,7.8958,1,0,0,3
412,0,1,0,27,0,0,6.8583,0,0,1,3
413,1,0,1,33,1,0,65,0,0,1,1
414,0,1,0,21,0,0,0,1,0,0,2
415,1,1,0,44,0,0,7.925,1,0,0,3
416,0,0,1,31,0,0,8.05,1,0,0,3
417,1,0,1,34,1,1,32.5,1,0,0,2
418,1,0,1,17,0,1,13,1,0,0,2
419,0,1,0,30,0,0,13,1,0,0,2
420,0,0,1,10,0,1,24.15,1,0,0,3
422,0,1,0,28,0,0,7.7333,0,0,1,3
423,0,1,0,29,0,0,7.875,1,0,0,3
424,0,0,1,28,1,1,14.4,1,0,0,3
425,0,1,0,18,1,1,20.2125,1,0,0,3
426,0,1,0,54,0,0,7.25,1,0,0,3
427,1,0,1,28,1,0,26,1,0,0,2
428,1,0,1,19,0,0,26,1,0,0,2
429,0,1,0,28,0,0,7.75,0,0,1,3
430,1,1,0,32,0,0,8.05,1,0,0,3
431,1,1,0,28,0,0,26.55,1,0,0,1
432,1,0,1,32,1,0,16.1,1,0,0,3
433,1,0,1,42,1,0,26,1,0,0,2
434,0,1,0,17,0,0,7.125,1,0,0,3
435,0,1,0,50,1,0,55.9,1,0,0,1
436,1,0,1,13,1,1,65,1,0,0,1
437,0,0,1,20,2,1,34.375,1,0,0,3
438,1,0,1,23,2,1,18.75,1,0,0,2
439,0,1,0,64,1,1,65,1,0,0,1
440,0,1,0,31,0,0,10.5,1,0,0,2
441,1,0,1,48,1,1,26.25,1,0,0,2
442,0,1,0,19,0,0,9.5,1,0,0,3
443,0,1,0,25,1,0,7.775,1,0,0,3
444,1,0,1,28,0,0,13,1,0,0,2
445,1,1,0,29,0,0,8.1125,1,0,0,3
446,1,1,0,4,0,1,65,1,0,0,1
447,1,0,1,13,0,1,19.5,1,0,0,2
448,1,1,0,34,0,0,26.55,1,0,0,1
449,1,0,1,5,2,1,19.2583,0,1,0,3
450,1,1,0,52,0,0,30.5,1,0,0,1
451,0,1,0,36,1,1,27.75,1,0,0,2
452,0,1,0,28,1,0,19.9667,1,0,0,3
453,0,1,0,30,0,0,27.75,0,1,0,1
454,1,1,0,47,1,0,65,0,1,0,1
455,0,1,0,24,0,0,8.05,1,0,0,3
456,1,1,0,29,0,0,7.8958,0,1,0,3
457,0,1,0,65,0,0,26.55,1,0,0,1
458,1,0,1,31,1,0,51.8625,1,0,0,1
459,1,0,1,48,0,0,10.5,1,0,0,2
460,0,1,0,16,0,0,7.75,0,0,1,3
461,1,1,0,47,0,0,26.55,1,0,0,1
462,0,1,0,34,0,0,8.05,1,0,0,3
463,0,1,0,47,0,0,38.5,1,0,0,1
464,0,1,0,48,0,0,13,1,0,0,2
465,0,1,0,34,0,0,8.05,1,0,0,3
466,0,1,0,37,0,0,7.05,1,0,0,3
467,0,1,0,21,0,0,0,1,0,0,2
468,0,1,0,56,0,0,26.55,1,0,0,1
469,0,1,0,22,0,0,7.725,0,0,1,3
470,1,0,1,0.75,2,1,19.2583,0,1,0,3
471,0,1,0,39,0,0,7.25,1,0,0,3
472,0,1,0,38,0,0,8.6625,1,0,0,3
473,1,0,1,33,1,1,27.75,1,0,0,2
474,1,0,1,23,0,0,13.7917,0,1,0,2
475,0,0,1,22,0,0,9.8375,1,0,0,3
476,0,1,0,40,0,0,52,1,0,0,1
477,0,1,0,33,1,0,21,1,0,0,2
478,0,1,0,29,1,0,7.0458,1,0,0,3
479,0,1,0,22,0,0,7.5208,1,0,0,3
480,1,0,1,2,0,1,12.2875,1,0,0,3
481,0,1,0,10,2.5,1,46.9,1,0,0,3
482,0,1,0,37,0,0,0,1,0,0,2
483,0,1,0,50,0,0,8.05,1,0,0,3
484,1,0,1,63,0,0,9.5875,1,0,0,3
485,1,1,0,25,1,0,65,0,1,0,1
486,0,0,1,8,2.5,1,25.4667,1,0,0,3
487,1,0,1,31,1,0,65,1,0,0,1
488,0,1,0,58,0,0,29.7,0,1,0,1
489,0,1,0,30,0,0,8.05,1,0,0,3
490,1,1,0,3,1,1,15.9,1,0,0,3
491,0,1,0,19,1,0,19.9667,1,0,0,3
492,0,1,0,21,0,0,7.25,1,0,0,3
493,0,1,0,55,0,0,30.5,1,0,0,1
494,0,1,0,71,0,0,49.5042,0,1,0,1
495,0,1,0,21,0,0,8.05,1,0,0,3
496,0,1,0,26,0,0,14.4583,0,1,0,3
497,1,0,1,54,1,0,65,0,1,0,1
498,0,1,0,55,0,0,15.1,1,0,0,3
499,0,0,1,25,1,1,65,1,0,0,1
500,0,1,0,24,0,0,7.7958,1,0,0,3
501,0,1,0,17,0,0,8.6625,1,0,0,3
502,0,0,1,22,0,0,7.75,0,0,1,3
503,0,0,1,21,0,0,7.6292,0,0,1,3
504,0,0,1,37,0,0,9.5875,1,0,0,3
505,1,0,1,20,0,0,65,1,0,0,1
506,0,1,0,24,1,0,65,0,1,0,1
507,1,0,1,33,0,1,26,1,0,0,2
508,1,1,0,37,0,0,26.55,1,0,0,1
509,0,1,0,28,0,0,22.525,1,0,0,3
510,1,1,0,26,0,0,56.4958,1,0,0,3
511,1,1,0,29,0,0,7.75,0,0,1,3
512,0,1,0,66,0,0,8.05,1,0,0,3
513,1,1,0,35,0,0,26.2875,1,0,0,1
514,1,0,1,54,1,0,59.4,0,1,0,1
515,0,1,0,24,0,0,7.4958,1,0,0,3
516,0,1,0,48,0,0,34.0208,1,0,0,1
517,1,0,1,34,0,0,10.5,1,0,0,2
518,0,1,0,29,0,0,24.15,0,0,1,3
519,1,0,1,36,1,0,26,1,0,0,2
520,0,1,0,32,0,0,7.8958,1,0,0,3
521,1,0,1,33,0,0,65,1,0,0,1
522,0,1,0,21,0,0,7.8958,1,0,0,3
523,0,1,0,30,0,0,7.225,0,1,0,3
524,1,0,1,44,0,1,57.9792,0,1,0,1
525,0,1,0,18,0,0,7.2292,0,1,0,3
526,0,1,0,25,0,0,7.75,0,0,1,3
527,1,0,1,50,0,0,10.5,1,0,0,2
528,0,1,0,57,0,0,65,1,0,0,1
529,0,1,0,39,0,0,7.925,1,0,0,3
530,0,1,0,23,2,1,11.5,1,0,0,2
531,1,0,1,2,1,1,26,1,0,0,2
532,0,1,0,17,0,0,7.2292,0,1,0,3
533,0,1,0,15,1,1,7.2292,0,1,0,3
534,1,0,1,24,0,1,22.3583,0,1,0,3
535,0,0,1,30,0,0,8.6625,1,0,0,3
536,1,0,1,7,0,1,26.25,1,0,0,2
537,0,1,0,46,0,0,26.55,1,0,0,1
538,1,0,1,27,0,0,65,0,1,0,1
539,0,1,0,69,0,0,14.5,1,0,0,3
